Ticker,Sector,MarketCapitalization
AACG.US,Consumer Defensive,39251752.0
AACI.US,Financial Services,87994064.0
AACIW.US,Financial Services,
AADI.US,Healthcare,45863432.0
AAGR.US,Consumer Defensive,52658788.0
AAGRW.US,Consumer Defensive,
AAL.US,Industrials,9735582720.0
AAME.US,Financial Services,51923856.0
AAOI.US,Technology,758776512.0
AAON.US,Industrials,6613334528.0
AAPL.US,Technology,2916202840064.0
ABAT.US,Basic Materials,
ABCB.US,Financial Services,3316629760.0
ABCL.US,Healthcare,1485670272.0
ABEO.US,Healthcare,152355792.0
ABIO.US,Healthcare,24071826.0
ABL.US,Financial Services,784270528.0
ABLLL.US,,
ABLLW.US,Financial Services,
ABLV.US,Communication Services,42845112.0
ABLVW.US,Communication Services,
ABNB.US,Consumer Cyclical,95081381888.0
ABOS.US,Healthcare,187630016.0
ABSI.US,Healthcare,399635552.0
ABTS.US,Financial Services,
ABUS.US,Healthcare,458645824.0
ABVC.US,Healthcare,10444844.0
ABVX.US,Healthcare,705305152.0
ACAB.US,Financial Services,86329312.0
ACABW.US,Financial Services,
ACAC.US,Financial Services,60119540.0
ACACW.US,Financial Services,
ACAD.US,Healthcare,4327784960.0
ACAH.US,Financial Services,129755632.0
ACAHW.US,Financial Services,417881300.0
ACB.US,Healthcare,236864608.0
ACBA.US,Financial Services,41265772.0
ACCD.US,Healthcare,1041906304.0
ACDC.US,Energy,1165133568.0
ACET.US,Healthcare,268305120.0
ACGL.US,Financial Services,31144935424.0
ACHC.US,Healthcare,7567285248.0
ACHL.US,Healthcare,38335924.0
ACHV.US,Healthcare,94185696.0
ACIC.US,Financial Services,506770880.0
ACIU.US,Healthcare,264787760.0
ACIW.US,Technology,3322574848.0
ACLS.US,Technology,4096084224.0
ACLX.US,Healthcare,3369653248.0
ACMR.US,Technology,1110940928.0
ACNB.US,Financial Services,315434336.0
ACNT.US,Basic Materials,100951240.0
ACON.US,Healthcare,3580712.0
ACONW.US,Healthcare,
ACOR.US,Healthcare,19252426.0
ACRS.US,Healthcare,87128528.0
ACRV.US,Healthcare,80565312.0
ACRX.US,Healthcare,14578978.0
ACST.US,Healthcare,23028530.0
ACT.US,Financial Services,4337533440.0
ACTG.US,Industrials,435504288.0
ACVA.US,Consumer Cyclical,2355395072.0
ACXP.US,Healthcare,39514160.0
ADAG.US,Healthcare,163503424.0
ADAP.US,Healthcare,292964640.0
ADBE.US,Technology,283498938368.0
ADD.US,Communication Services,6471912.0
ADEA.US,Technology,1677784704.0
ADEX.US,Financial Services,47882164.0
ADI.US,Technology,96704569344.0
ADIL.US,Healthcare,1959344.0
ADMA.US,Healthcare,1184072320.0
ADN.US,Utilities,12504379.0
ADNWW.US,Utilities,437761800.0
ADOC.US,Financial Services,42646436.0
ADOCR.US,,118984300.0
ADOCW.US,Financial Services,118630200.0
ADP.US,Industrials,102693650432.0
ADPT.US,Healthcare,539279360.0
ADSE.US,Industrials,465380160.0
ADSEW.US,Industrials,
ADSK.US,Technology,57046851584.0
ADTH.US,Communication Services,237370720.0
ADTHW.US,Communication Services,
ADTN.US,Technology,499738656.0
ADTX.US,Healthcare,6319472.0
ADUS.US,Healthcare,1528073344.0
ADV.US,Communication Services,1289256192.0
ADVM.US,Healthcare,173261312.0
ADVWW.US,Communication Services,3694020000.0
ADXN.US,Healthcare,10807614.0
AEAE.US,Financial Services,80675560.0
AEAEW.US,Financial Services,
AEHL.US,Industrials,3184673.0
AEHR.US,Technology,496494720.0
AEI.US,Real Estate,19240716.0
AEIS.US,Industrials,3905898752.0
AEMD.US,Healthcare,4331431.0
AENT.US,Communication Services,89128896.0
AENTW.US,Communication Services,
AEP.US,Utilities,40313655296.0
AERT.US,Industrials,
AERTW.US,Industrials,
AEY.US,Technology,1059744.0
AEYE.US,Technology,63367836.0
AEZS.US,Healthcare,8759168.0
AFAR.US,Financial Services,63483064.0
AFARW.US,Financial Services,
AFBI.US,Financial Services,107671056.0
AFCG.US,Real Estate,232442432.0
AFIB.US,Healthcare,5523766.0
AFJKR.US,,
AFJKU.US,,
AFMD.US,Healthcare,82061784.0
AFRI.US,Consumer Defensive,282769184.0
AFRIW.US,Consumer Defensive,
AFRM.US,Technology,13013818368.0
AFYA.US,Consumer Defensive,1910094720.0
AGAE.US,Communication Services,44948096.0
AGBA.US,Financial Services,27139654.0
AGBAW.US,Financial Services,
AGEN.US,Healthcare,285396416.0
AGFY.US,Industrials,4724030.0
AGIL.US,Technology,10323667.0
AGIO.US,Healthcare,1405107200.0
AGLE.US,Healthcare,48627652.0
AGLWQ.US,Technology,
AGMH.US,Technology,41960928.0
AGNC.US,Real Estate,6554191872.0
AGNCL.US,Real Estate,
AGRI.US,Consumer Defensive,1251435.0
AGRIW.US,Consumer Defensive,
AGRX.US,Healthcare,3564690.0
AGYS.US,Technology,2476036864.0
AHCO.US,Healthcare,1012013824.0
AHG.US,Healthcare,202975104.0
AHI.US,Technology,13059540.0
AIB.US,Financial Services,42766436.0
AIBBR.US,,
AIH.US,Healthcare,23540726.0
AIHS.US,Financial Services,5123205.0
AIMAW.US,Financial Services,
AIMD.US,Healthcare,4280196.0
AIMDW.US,Healthcare,
AIP.US,Technology,256875168.0
AIRE.US,Real Estate,
AIRG.US,Technology,43811324.0
AIRS.US,Healthcare,403784128.0
AIRT.US,Industrials,48586332.0
AISP.US,Technology,
AISPW.US,Technology,
AITRR.US,,
AITRU.US,Financial Services,
AIXI.US,Technology,168589504.0
AKAM.US,Technology,19354763264.0
AKAN.US,Healthcare,1899200.0
AKBA.US,Healthcare,308957952.0
AKLI.US,Healthcare,18716042.0
AKRO.US,Healthcare,1100825600.0
AKTS.US,Technology,64949004.0
AKTX.US,Healthcare,13568281.0
AKYA.US,Healthcare,297401760.0
ALAR.US,Technology,85188304.0
ALBT.US,Real Estate,4619790.0
ALCE.US,Utilities,
ALCO.US,Consumer Defensive,221078544.0
ALCY.US,Financial Services,
ALCYU.US,Financial Services,
ALCYW.US,Financial Services,
ALDX.US,Healthcare,194407040.0
ALEC.US,Healthcare,612788032.0
ALGM.US,Technology,6112437760.0
ALGN.US,Healthcare,22698713088.0
ALGS.US,Healthcare,51065888.0
ALGT.US,Industrials,1446334336.0
ALHC.US,Healthcare,1269314816.0
ALIM.US,Healthcare,203901360.0
ALKS.US,Healthcare,4559188480.0
ALKT.US,Technology,2498956032.0
ALLK.US,Healthcare,117218248.0
ALLO.US,Healthcare,737053248.0
ALLR.US,Healthcare,2543153.0
ALLT.US,Technology,79572480.0
ALNT.US,Technology,463643200.0
ALNY.US,Healthcare,21337575424.0
ALOT.US,Technology,130668624.0
ALPN.US,Healthcare,1886126080.0
ALPP.US,Industrials,14722794.0
ALRM.US,Technology,3314441216.0
ALRN.US,Healthcare,23377164.0
ALRS.US,Financial Services,443819904.0
ALSA.US,Financial Services,137897936.0
ALSAR.US,,
ALSAW.US,Financial Services,
ALT.US,Healthcare,568451776.0
ALTI.US,Financial Services,673298496.0
ALTO.US,Basic Materials,149234400.0
ALTR.US,Technology,7526768128.0
ALTU.US,Financial Services,90731760.0
ALTUU.US,Financial Services,367500000.0
ALTUW.US,Financial Services,366750000.0
ALVO.US,Healthcare,4165920256.0
ALVOW.US,Healthcare,
ALVR.US,Healthcare,82125360.0
ALXO.US,Healthcare,698459584.0
ALYA.US,Technology,107491472.0
ALZN.US,Healthcare,6083311.0
AMAL.US,Financial Services,734845184.0
AMAM.US,Healthcare,1758806912.0
AMAT.US,Technology,154630406144.0
