date,open,high,low,close,adjusted_close,volume
2023-01-03,45.89,46.35,43.02,43.62,42.2216,6169000
2023-01-04,42.41,43.31,41.84,42.15,40.7987,9034500
2023-01-05,41.89,42.41,41.36,41.76,40.4212,7019000
2023-01-06,42.54,43.32,41.94,42.89,41.515,5763400
2023-01-09,44.06,44.45,43.3,43.37,41.9796,5737000
2023-01-10,43.11,43.37,42.0,43.24,41.8537,5161700
2023-01-11,43.75,44.19,42.92,43.82,42.4151,4860100
2023-01-12,44.1,46.14,43.99,45.35,43.8961,5573300
2023-01-13,45.17,45.5,44.28,45.34,43.8864,3488400
2023-01-17,45.94,46.15,44.71,45.14,43.6928,4279300
2023-01-18,45.44,46.21,44.02,44.06,42.6474,5408700
2023-01-19,43.66,45.33,43.36,45.16,43.7122,5662400
2023-01-20,44.86,45.59,44.0,45.09,43.8874,5058200
2023-01-23,45.68,45.98,45.07,45.36,44.1502,3885800
2023-01-24,44.91,44.97,43.71,44.06,42.8849,5032200
2023-01-25,43.87,44.19,42.74,44.09,42.9141,5276100
2023-01-26,44.81,45.39,43.65,45.36,44.1502,4429400
2023-01-27,45.43,46.98,45.43,45.73,44.5103,5272600
2023-01-30,44.97,45.66,44.12,44.16,42.9822,4942200
2023-01-31,43.94,44.65,43.29,44.33,43.1476,4097500
2023-02-01,43.96,44.04,41.73,43.4,42.2425,6591700
2023-02-02,43.16,43.32,41.76,42.36,41.2302,5477000
2023-02-03,42.58,43.5,41.91,42.04,40.9187,5467900
2023-02-06,42.13,42.62,41.35,42.02,40.8993,7520600
2023-02-07,42.32,43.75,41.51,43.69,42.5247,5262300
2023-02-08,43.9,44.01,41.84,42.12,40.9966,5606400
2023-02-09,42.18,42.48,40.99,41.05,39.9551,5385100
2023-02-10,41.88,43.64,41.8,43.56,42.3982,7832500
2023-02-13,43.25,43.38,42.41,42.51,41.3762,4536400
2023-02-14,42.11,43.25,41.8,42.47,41.3373,4719500
2023-02-15,42.04,42.04,40.4,41.31,40.2082,5623400
2023-02-16,41.22,41.53,40.12,40.14,39.0694,4574400
2023-02-17,39.25,39.25,37.87,38.09,37.0741,6911900
2023-02-21,38.0,38.28,37.5,38.06,37.0449,5075600
2023-02-22,37.73,38.38,37.08,37.86,36.8502,5463400
2023-02-23,39.93,40.23,38.24,39.12,38.0766,7876100
2023-02-24,38.72,39.4,38.29,39.22,38.1739,5303800
2023-02-27,39.27,39.77,38.8,39.23,38.1837,4399200
2023-02-28,39.93,39.98,38.36,38.38,37.3563,5287700
2023-03-01,38.35,40.09,38.01,39.63,38.573,4747900
2023-03-02,39.66,40.53,39.48,40.27,39.1959,3778000
2023-03-03,39.5,41.38,39.4,41.15,40.0525,4325800
2023-03-06,40.56,40.71,39.79,40.15,39.0791,6502000
2023-03-07,39.79,39.93,38.92,39.13,38.0863,4253600
2023-03-08,38.88,39.59,38.01,38.49,37.4634,4729400
2023-03-09,38.55,39.16,36.94,37.01,36.0229,5388600
2023-03-10,36.81,37.56,35.76,35.95,34.9912,6513300
2023-03-13,34.65,35.77,33.84,34.52,33.5993,8910000
2023-03-14,34.56,35.9,33.78,34.83,33.901,8129700
2023-03-15,33.07,33.51,31.46,32.05,31.1952,12001200
2023-03-16,31.17,32.88,30.92,32.81,31.9349,7570300
2023-03-17,32.69,32.79,31.43,31.74,30.8934,15840600
2023-03-20,31.89,33.14,31.71,32.88,32.003,6377600
2023-03-21,33.76,35.49,33.64,35.04,34.1054,10832400
2023-03-22,35.04,35.61,34.33,34.35,33.4338,8713000
2023-03-23,34.5,35.27,33.35,34.01,33.1029,7987600
2023-03-24,33.34,34.68,33.09,34.51,33.5896,6961400
2023-03-27,34.97,35.77,34.47,35.38,34.4364,7023400
2023-03-28,35.13,36.3,35.0,35.9,34.9425,4842000
2023-03-29,36.38,36.49,35.71,35.91,34.9522,7361000
2023-03-30,36.5,36.58,35.27,35.38,34.4364,6746500
2023-03-31,35.76,36.09,35.4,36.06,35.0982,6416300
2023-04-03,38.24,39.47,38.21,39.2,38.1545,9725600
2023-04-04,39.59,39.59,37.49,38.1,37.0838,8775300
2023-04-05,37.89,38.18,37.15,37.99,36.9767,6756200
2023-04-06,37.78,38.54,37.55,38.07,37.0546,5085000
2023-04-10,38.45,39.5,38.33,39.09,38.0474,5791900
2023-04-11,39.62,40.42,39.14,39.92,38.8553,5135600
2023-04-12,40.16,40.36,39.56,39.64,38.5827,4384100
2023-04-13,39.77,40.67,39.38,40.47,39.3906,5806600
2023-04-14,40.57,40.92,40.17,40.78,39.6923,4164400
2023-04-17,40.82,41.11,39.47,39.49,38.4367,4516200
2023-04-18,39.49,39.55,38.88,39.42,38.3686,5017400
2023-04-19,38.58,39.01,38.07,38.79,37.7554,5545200
2023-04-20,37.79,38.14,37.25,37.7,36.9325,5916300
2023-04-21,37.74,37.89,36.94,37.23,36.4721,3390600
