date,open,high,low,close,adjusted_close,volume
2023-01-03,29.34,30.04,28.55,28.75,28.0633,6551048
2023-01-04,28.38,28.38,27.375,27.89,27.2238,10198810
2023-01-05,27.85,28.865,27.755,28.8,28.1121,5748279
2023-01-06,29.37,30.38,29.16,29.96,29.2444,6928320
2023-01-09,30.56,31.1,30.31,30.54,29.8106,5574105
2023-01-10,30.44,30.93,30.045,30.87,30.1327,6086386
2023-01-11,30.98,31.15,30.55,30.83,30.0936,5251746
2023-01-12,30.82,31.89,30.68,31.5,30.7476,5542707
2023-01-13,31.42,31.68,30.84,31.63,30.8745,4520896
2023-01-17,31.61,31.82,31.32,31.48,30.7281,5928328
2023-01-18,31.85,32.17,30.65,30.69,29.957,7127158
2023-01-19,30.56,30.77,29.91,30.49,29.7617,5957251
2023-01-20,30.35,31.1589,30.14,31.07,30.3279,10389590
2023-01-23,31.08,31.67,30.4,30.59,29.8594,7178215
2023-01-24,30.42,30.46,29.11,30.15,29.4299,8024318
2023-01-25,29.82,31.03,29.48,31.0,30.2596,5927690
2023-01-26,31.295,31.83,30.62,31.8,31.0405,4927361
2023-01-27,31.7,31.77,31.135,31.3,30.5524,5435252
2023-01-30,30.99,31.33,30.77,31.02,30.2791,4552616
2023-01-31,30.93,31.88,30.87,31.74,30.9819,5036478
2023-02-01,31.39,32.295,31.035,31.99,31.2259,7350379
2023-02-02,31.915,31.96,30.935,31.39,30.6403,7744291
2023-02-03,31.41,31.84,31.11,31.37,30.8072,9233876
2023-02-06,31.39,31.74,31.05,31.66,31.092,5685686
2023-02-07,31.88,32.62,31.56,32.52,31.9366,6083219
2023-02-08,32.71,32.905,32.19,32.57,31.9857,6354626
2023-02-09,32.45,32.57,32.0,32.18,31.6027,8385562
2023-02-10,32.69,32.99,32.285,32.92,32.3294,5796470
2023-02-13,32.7,33.12,32.47,32.78,32.1919,3851565
2023-02-14,32.35,32.935,32.12,32.46,31.8776,5622396
2023-02-15,31.99,32.15,31.34,32.15,31.5732,4936070
2023-02-16,32.39,32.9,32.18,32.26,31.6812,4898764
2023-02-17,31.8,31.87,30.39,30.59,30.0412,9360978
2023-02-21,30.4,30.64,29.93,30.13,29.5894,6773600
2023-02-22,30.12,30.5,29.815,30.05,29.5109,5977669
2023-02-23,30.55,30.78,30.305,30.47,29.9233,4908180
2023-02-24,30.0,30.51,29.755,30.38,29.835,4751292
2023-02-27,30.535,31.165,30.35,31.04,30.4831,3912061
2023-02-28,31.33,31.41,30.58,30.6,30.051,5278926
2023-03-01,30.63,31.245,30.61,31.09,30.5322,3830102
2023-03-02,30.97,31.89,30.94,31.71,31.1411,5038928
2023-03-03,31.08,32.34,31.0,32.28,31.7009,4769226
2023-03-06,32.24,32.405,32.0,32.27,31.6911,4666137
2023-03-07,32.13,32.27,31.73,31.75,31.1804,4133214
2023-03-08,31.6,31.91,30.985,31.43,30.8661,3407356
2023-03-09,31.5,31.825,30.02,30.06,29.5207,4935205
2023-03-10,30.09,30.125,28.935,29.07,28.5485,6255325
2023-03-13,28.34,28.965,27.8,28.14,27.6352,8660685
2023-03-14,28.29,28.94,27.73,28.36,27.8512,7488650
2023-03-15,27.42,27.545,26.41,26.85,26.3683,14303670
2023-03-16,26.2,27.52,26.13,27.3,26.8102,12698530
