date,open,high,low,close,adjusted_close,volume
2023-01-03,116.56,117.9802,111.92,113.12,109.1266,5424363
2023-01-04,111.22,114.31,110.46,113.34,109.3388,4837794
2023-01-05,113.53,117.795,113.53,116.77,112.6477,5177715
2023-01-06,118.5,120.19,117.54,118.23,114.0562,4442319
2023-01-09,120.32,120.66,116.86,117.36,113.2169,5403382
2023-01-10,118.23,118.615,116.68,118.08,113.9115,4042752
2023-01-11,119.19,119.55,116.91,118.24,114.0658,4569918
2023-01-12,118.39,121.1,117.85,120.16,115.918,5072452
2023-01-13,120.58,121.85,118.51,121.47,117.1818,4360209
2023-01-17,121.06,122.538,119.56,120.24,115.9952,5228472
2023-01-18,121.2,123.71,118.36,118.55,114.3649,5138681
2023-01-19,117.55,120.26,116.26,119.64,115.4164,5049200
2023-01-20,120.16,121.91,119.2527,121.8,117.5001,5101417
2023-01-23,122.46,123.17,119.97,120.13,115.8891,3963235
2023-01-24,121.0,121.0,117.6401,118.81,114.6157,4216908
2023-01-25,118.2,120.38,116.64,120.37,116.1206,3984733
2023-01-26,122.29,124.73,120.8,124.65,120.2495,5807356
2023-01-27,124.69,126.39,123.52,123.61,119.2462,4857454
2023-01-30,122.09,122.6,120.33,120.53,116.275,5246251
2023-01-31,120.22,122.09,119.1,121.87,117.5677,5200119
2023-02-01,120.71,120.97,115.2,117.7,113.5449,7282283
2023-02-02,113.49,115.39,109.76,111.3,107.3708,11531290
2023-02-03,111.31,112.389,107.76,108.11,104.2934,13504190
2023-02-06,108.57,109.95,106.725,107.49,103.6953,11516340
2023-02-07,108.41,112.15,107.41,112.02,108.0654,7370606
2023-02-08,112.23,113.0,109.84,110.79,106.8788,6713232
2023-02-09,110.61,111.74,109.85,109.93,106.0492,5768446
2023-02-10,111.98,115.3673,111.83,115.06,110.9981,10779150
2023-02-13,113.95,114.095,112.12,112.31,108.8193,6018245
2023-02-14,111.0,114.45,110.55,113.55,110.0207,7308073
2023-02-15,111.82,112.17,109.98,111.65,108.1798,7205062
2023-02-16,110.88,111.71,108.085,108.36,104.992,6531921
2023-02-17,106.14,106.67,103.17,104.12,100.8838,11294540
2023-02-21,104.01,106.12,103.51,105.31,102.0368,7200780
2023-02-22,105.48,105.48,102.96,104.08,100.8451,7929502
2023-02-23,106.0,106.4,104.07,105.43,102.1531,6095809
2023-02-24,104.17,105.55,103.36,105.25,101.9787,5617868
2023-02-27,105.17,106.18,103.44,105.86,102.5698,7429338
2023-02-28,106.66,107.31,103.31,103.35,100.1378,8771764
2023-03-01,103.73,107.68,103.23,106.25,102.9476,6064687
2023-03-02,106.07,108.96,105.78,108.33,104.963,5459001
2023-03-03,106.27,109.0796,105.815,108.64,105.2633,7075136
2023-03-06,107.58,109.6,107.1,109.56,106.1548,6201092
2023-03-07,108.59,108.92,106.67,107.65,104.3041,4973233
2023-03-08,107.0,108.53,105.76,107.23,103.8972,4576832
2023-03-09,107.92,109.2534,105.36,105.81,102.5213,5191573
2023-03-10,105.73,107.3299,103.6,104.22,100.9807,5313088
2023-03-13,102.0,103.58,99.57,100.68,97.5508,8789731
2023-03-14,101.05,104.4199,99.62,101.36,98.2096,7090814
2023-03-15,97.42,98.71,93.59,95.24,92.2798,10661240
2023-03-16,92.01,96.5,91.5338,96.4,93.4038,10112610
2023-03-17,96.35,96.95,93.5,94.39,91.4563,17056189
2023-03-20,94.84,96.89,94.71,96.16,93.1712,7932903
2023-03-21,98.09,100.09,98.0,99.71,96.6109,6770198
2023-03-22,100.0,101.09,98.29,98.37,95.3125,5635491
2023-03-23,98.51,99.76,95.5,96.42,93.4232,5866448
2023-03-24,94.56,95.9,93.26,95.43,92.4639,8386765
2023-03-27,96.31,98.5,95.595,97.48,94.4502,6049698
2023-03-28,96.61,98.69,96.43,97.93,95.4674,3791999
2023-03-29,99.64,100.3,98.67,99.75,97.2416,7596324
2023-03-30,100.61,100.86,98.87,99.25,96.7542,5461125
2023-03-31,99.81,99.9,98.94,99.21,96.7152,7708836
2023-04-03,105.13,109.1399,105.01,108.42,105.6936,12394310
2023-04-04,108.33,108.77,105.11,106.3,103.6269,5425514
2023-04-05,106.91,107.88,105.9226,107.75,105.0404,5806765
2023-04-06,106.9,107.74,105.894,106.26,103.5879,5087830
2023-04-10,107.04,108.0145,105.61,105.95,103.2857,4374681
2023-04-11,106.1,107.2,105.49,106.75,104.0656,4812163
2023-04-12,108.48,109.09,107.405,107.53,104.826,8108154
2023-04-13,107.94,109.9,107.12,109.04,106.298,7160126
2023-04-14,109.48,110.02,108.12,108.5,105.7716,5052162
2023-04-17,106.8,107.69,105.52,105.61,102.9542,6278847
2023-04-18,104.99,105.7,104.095,104.95,102.3108,7745310
2023-04-19,103.85,105.81,103.5041,105.26,102.613,4717450
2023-04-20,103.45,103.9,102.12,103.78,101.1703,5351734
2023-04-21,104.1,104.2,101.63,102.26,99.6885,5279044
2023-04-24,101.95,103.9495,101.77,103.65,101.0435,5215951
2023-04-25,101.6,102.41,100.48,102.09,99.5228,5355812
2023-04-26,101.33,102.13,99.65,100.47,97.9435,4295136
2023-04-27,100.45,101.925,99.81,101.23,98.6844,4196680
2023-04-28,100.57,103.73,100.32,102.89,100.3026,6638223
2023-05-01,101.58,103.01,101.13,102.53,99.9517,3644944
2023-05-02,100.88,101.39,97.48,98.64,96.1595,8100082
2023-05-03,96.83,97.58,95.7,96.09,93.6736,9085109
2023-05-04,96.2,98.52,95.81,97.36,94.9117,6840031
2023-05-05,101.12,101.6,98.94,100.37,97.846,5566846
2023-05-08,102.09,102.75,100.6001,100.9,98.3627,5058854
2023-05-09,100.01,102.62,99.95,101.53,98.9768,4896149
2023-05-10,101.99,102.26,99.5549,100.47,97.9435,5285881
2023-05-11,98.88,100.12,98.55,99.89,97.3781,5671717
2023-05-12,100.64,100.95,98.705,99.43,96.9297,5004431
2023-05-15,99.33,100.45,98.46,100.29,98.2665,5838070
2023-05-16,99.87,100.56,97.42,98.07,96.0913,4822389
2023-05-17,99.54,101.46,98.56,100.71,98.6781,5013660
2023-05-18,100.2,100.85,99.25,100.74,98.7074,5503403
2023-05-19,102.33,103.59,101.83,102.6,100.5299,6068181
2023-05-22,102.73,104.92,102.42,103.73,101.6371,5561913
2023-05-23,104.46,105.57,103.99,104.39,102.2838,5415899
2023-05-24,105.49,105.68,103.47,103.98,101.8821,5141870
2023-05-25,101.94,102.4,100.5,101.69,99.6383,4952048
