date,open,high,low,close,adjusted_close,volume
2023-01-03,24.2,24.29,23.05,23.21,22.1737,8239000
2023-01-04,22.97,24.22,22.76,23.98,22.9094,8609100
2023-01-05,23.5,23.85,23.4,23.67,22.6132,14083700
2023-01-06,23.92,24.43,23.87,24.26,23.1769,9888600
2023-01-09,24.81,25.11,24.57,24.79,23.6832,8845900
2023-01-10,24.91,25.09,24.52,25.08,23.9602,10677300
2023-01-11,25.36,25.44,24.67,24.69,23.5877,12896500
2023-01-12,25.01,25.58,24.88,25.39,24.2564,8092200
2023-01-13,25.13,25.27,24.79,25.1,23.9793,6763700
2023-01-17,25.45,25.65,25.09,25.34,24.2086,5842600
2023-01-18,25.35,25.51,24.67,24.68,23.5781,6769800
2023-01-19,24.67,25.44,24.48,25.3,24.1704,8341300
2023-01-20,25.4,25.72,25.08,25.62,24.4761,5554100
2023-01-23,25.75,25.92,25.48,25.78,24.629,6197100
2023-01-24,25.68,26.2,25.12,25.2,24.0749,5222400
2023-01-25,25.08,25.15,24.66,25.1,23.9793,5763600
2023-01-26,25.26,25.35,24.47,25.26,24.1322,8124400
2023-01-27,25.37,25.49,25.1,25.33,24.1991,4526400
2023-01-30,24.83,25.26,24.64,24.66,23.559,5026700
2023-01-31,24.78,25.04,24.5,25.03,23.9125,5245400
2023-02-01,24.84,24.9,24.16,24.54,23.4443,7692100
2023-02-02,24.62,25.14,24.4,24.73,23.6259,9431500
2023-02-03,24.68,25.06,24.23,24.26,23.1769,6878900
2023-02-06,24.2,24.3,23.57,23.81,22.7469,7887000
2023-02-07,24.0,24.3,23.72,24.26,23.1769,6624300
2023-02-08,24.15,24.28,23.72,24.15,23.0718,9112700
2023-02-09,24.21,24.68,24.12,24.36,23.2724,6564400
2023-02-10,24.75,25.16,24.64,25.07,23.9507,9166500
2023-02-13,24.92,25.27,24.81,25.01,23.8934,6351300
2023-02-14,24.94,25.65,24.89,25.55,24.4093,6936500
2023-02-15,25.19,25.29,24.79,24.92,23.8074,9183600
2023-02-16,24.9,25.13,24.6,24.61,23.5112,7158000
2023-02-17,24.38,24.42,23.32,23.4,22.3552,13913800
2023-02-21,23.25,23.38,22.97,23.0,21.9731,10038800
2023-02-22,23.18,23.4,22.86,23.26,22.2215,10539100
2023-02-23,24.19,24.99,24.06,24.67,23.5685,15050200
2023-02-24,24.41,25.63,24.35,25.56,24.4188,15083200
2023-02-27,25.55,25.57,24.88,25.38,24.2468,9762800
2023-02-28,25.55,25.55,24.97,24.97,23.8552,9116500
2023-03-01,24.91,25.42,24.61,25.24,24.1131,9049700
2023-03-02,25.23,25.95,25.09,25.81,24.6576,7973500
2023-03-03,25.58,26.51,25.41,26.34,25.164,9134900
2023-03-06,25.87,26.0,25.46,25.66,24.5143,9020200
2023-03-07,25.68,26.04,25.45,25.87,24.715,8907900
2023-03-08,25.72,26.09,24.93,25.15,24.0271,11969700
2023-03-09,25.39,25.92,25.04,25.11,23.9889,12826300
2023-03-10,25.09,25.29,24.36,24.59,23.4921,11117000
2023-03-13,23.96,25.04,23.66,24.47,23.3775,14038100
2023-03-14,24.51,25.41,24.42,24.89,23.7787,11055600
2023-03-15,23.45,23.65,22.25,22.78,22.273,17339300
2023-03-16,22.36,23.52,22.26,23.51,22.9867,10879600
2023-03-17,23.49,23.87,22.88,23.19,22.6739,36604200
2023-03-20,23.14,23.82,23.06,23.59,23.065,7931400
2023-03-21,23.93,24.28,23.74,24.13,23.593,7154000
2023-03-22,24.11,24.2,23.49,23.5,22.977,8005100
2023-03-23,23.5,23.8,22.84,23.1,22.5859,11262200
2023-03-24,22.81,23.72,22.66,23.68,23.153,11468200
2023-03-27,23.75,24.05,23.42,23.76,23.2312,9406300
2023-03-28,23.71,24.19,23.63,23.98,23.4463,6008000
2023-03-29,24.27,24.31,23.9,24.11,23.5734,6091500
2023-03-30,24.27,24.31,23.69,24.04,23.505,7305600
2023-03-31,24.31,24.69,24.19,24.54,23.9938,7829900
2023-04-03,25.4,25.6,24.84,25.12,24.5609,12704900
2023-04-04,25.19,25.19,24.73,25.09,24.5316,7615500
2023-04-05,25.2,25.42,24.82,25.41,24.8445,5770400
2023-04-06,25.21,25.33,24.9,24.94,24.3849,5166600
2023-04-10,25.2,25.94,25.19,25.65,25.0791,5659100
2023-04-11,25.8,26.13,25.66,25.96,25.3822,7235300
2023-04-12,26.05,26.36,25.75,25.76,25.1867,6081400
2023-04-13,25.65,25.87,25.48,25.74,25.1671,6521200
2023-04-14,25.74,25.9,25.49,25.76,25.1867,5307300
2023-04-17,25.93,26.0,25.56,25.68,25.1085,5864400
2023-04-18,25.59,25.94,25.58,25.76,25.1867,5573200
2023-04-19,25.29,25.71,25.17,25.7,25.128,6998000
2023-04-20,25.56,25.79,25.45,25.56,24.9911,5719000
2023-04-21,25.65,25.71,25.36,25.46,24.8933,4034700
2023-04-24,25.44,25.78,25.29,25.7,25.128,5065200
2023-04-25,25.49,25.67,25.06,25.15,24.5902,6309700
2023-04-26,24.93,25.15,24.59,24.69,24.1405,6028500
2023-04-27,24.75,25.32,24.72,25.16,24.6,5944000
2023-04-28,25.12,25.88,25.06,25.6,25.0302,7268600
2023-05-01,25.23,25.63,25.18,25.44,24.8738,5181600
2023-05-02,25.04,25.13,23.98,24.31,23.7689,8892200
2023-05-03,23.92,24.44,23.82,24.1,23.5636,6105100
2023-05-04,24.23,24.54,24.03,24.14,23.6027,9054900
2023-05-05,25.6,26.32,24.95,25.09,24.5316,12853000
2023-05-08,25.49,25.68,24.81,24.86,24.3067,6530800
2023-05-09,24.63,25.16,24.6,24.84,24.2871,4628700
2023-05-10,24.92,25.0,24.34,24.46,23.9156,4995700
2023-05-11,24.28,24.56,24.16,24.36,23.8178,4728900
2023-05-12,24.59,24.81,24.3,24.8,24.248,5050000
2023-05-15,25.1,25.79,25.01,25.56,24.9911,9044500
2023-05-16,25.54,25.73,24.77,24.78,24.2285,8517200
2023-05-17,24.92,25.03,24.52,24.64,24.0916,6553300
2023-05-18,24.64,25.45,24.52,25.45,24.8836,11137500
2023-05-19,25.76,25.89,25.48,25.63,25.0596,7686500
2023-05-22,25.54,26.15,25.45,25.89,25.3138,7150600
2023-05-23,26.15,26.21,25.74,25.77,25.1965,6987400
2023-05-24,26.0,26.0,25.38,25.51,24.9422,7080500
2023-05-25,24.99,25.03,24.61,24.83,24.4692,6309100
2023-05-26,24.85,24.9,24.12,24.24,23.8878,7407500
2023-05-30,23.8,23.92,23.38,23.55,23.2078,8558000
2023-05-31,23.33,23.57,23.06,23.25,22.9122,14940100
2023-06-01,23.21,23.4,22.91,22.97,22.6362,9864900
2023-06-02,23.26,24.05,23.25,23.9,23.5527,8801400
2023-06-05,24.38,24.38,23.7,23.73,23.3852,6929100
2023-06-06,23.4,24.25,23.39,24.17,23.8188,4943700
2023-06-07,24.35,24.98,24.29,24.84,24.4791,6021200
2023-06-08,24.71,24.86,24.27,24.55,24.1933,5886500
2023-06-09,24.5,24.78,24.4,24.57,24.213,5428300
2023-06-12,24.2,24.55,24.13,24.47,24.1144,5808600
2023-06-13,24.61,25.01,24.52,24.75,24.3904,7347600
2023-06-14,24.92,24.93,23.99,24.26,23.9075,7413500
2023-06-15,24.41,25.17,24.34,25.08,24.7156,9598000
2023-06-16,25.12,25.45,25.01,25.21,24.8437,21775200
2023-06-20,25.15,25.16,24.36,24.44,24.0849,6656800
2023-06-21,24.56,24.76,24.31,24.42,24.0652,7232100
2023-06-22,24.26,24.31,23.84,23.92,23.5724,5098700
2023-06-23,23.65,23.9,23.61,23.72,23.3753,9643000
2023-06-26,23.72,24.22,23.65,23.96,23.6119,5935000
2023-06-27,24.23,24.53,24.06,24.27,23.9173,7948500
2023-06-28,24.46,24.55,24.11,24.47,24.1144,5422300
2023-06-29,24.65,25.14,24.44,25.13,24.7649,6284000
2023-06-30,25.29,25.44,24.84,25.3,24.9324,6548400
2023-07-03,25.22,25.48,25.13,25.17,24.8043,3043800
2023-07-05,25.32,25.41,24.96,25.19,24.824,5016500
2023-07-06,25.0,25.04,24.33,24.82,24.4594,5333700
2023-07-07,24.71,25.63,24.66,25.24,24.8733,10297400
2023-07-10,25.16,25.54,25.05,25.52,25.1492,4722800
2023-07-11,25.59,26.41,25.48,26.39,26.0065,6829500
2023-07-12,26.43,26.68,26.34,26.48,26.0952,6940400
2023-07-13,26.43,26.81,26.29,26.45,26.0657,7066200
2023-07-14,26.34,26.35,25.43,25.47,25.0999,5553300
2023-07-17,25.48,25.69,25.3,25.52,25.1492,5687900
2023-07-18,25.64,26.68,25.56,26.46,26.0755,8460100
2023-07-19,26.5,26.7,26.37,26.5,26.1149,4749500
2023-07-20,26.75,27.09,26.54,26.88,26.4894,5084400
2023-07-21,26.99,27.0,26.64,26.71,26.3219,4797600
2023-07-24,26.77,27.06,26.65,26.87,26.4796,5640800
2023-07-25,26.92,27.26,26.71,27.15,26.7555,6534300
2023-07-26,26.88,27.32,26.75,27.15,26.7555,4569000
2023-07-27,27.35,27.47,26.89,26.97,26.5781,4717100
2023-07-28,27.29,27.44,26.94,27.41,27.0117,4724300
2023-07-31,27.54,27.63,27.4,27.54,27.1398,5418500
2023-08-01,27.29,27.65,27.18,27.6,27.199,6409900
2023-08-02,27.51,27.55,26.74,27.03,26.6372,5191400
2023-08-03,27.18,27.84,27.06,27.7,27.2975,4885600
2023-08-04,27.89,28.03,27.55,27.57,27.1694,7128700
2023-08-07,27.73,28.13,27.71,27.8,27.3961,7636800
2023-08-08,26.65,27.66,26.41,27.6,27.199,10956200
2023-08-09,28.15,28.91,28.03,28.29,27.8789,10552900
2023-08-10,28.17,28.46,27.68,27.82,27.4158,5906900
2023-08-11,27.72,28.18,27.72,28.05,27.6424,5615500
2023-08-14,28.34,28.41,27.82,27.97,27.5636,5336400
2023-08-15,27.75,27.85,27.51,27.65,27.2482,5507900
2023-08-16,27.53,27.84,27.53,27.56,27.3574,4581800
2023-08-17,28.0,28.34,27.86,27.93,27.7247,4689500
2023-08-18,27.63,27.9,27.57,27.78,27.5758,7003600
2023-08-21,28.1,28.25,27.74,28.2,27.9927,4656700
