date,open,high,low,close,adjusted_close,volume
2023-01-03,178.04,179.0,171.51,173.99,167.4122,7565400
2023-01-04,170.95,174.29,170.85,172.14,165.6321,7684500
2023-01-05,171.5,176.19,171.24,175.24,168.615,6088200
2023-01-06,177.02,179.39,175.7,176.56,169.885,7191200
2023-01-09,178.26,178.33,174.38,175.18,168.5572,8385600
2023-01-10,176.4,176.71,173.72,176.04,169.3847,8307000
2023-01-11,177.89,178.14,174.3,175.2,168.5765,6962600
2023-01-12,175.99,178.37,175.9,177.08,170.3854,6891400
2023-01-13,177.09,177.99,175.68,177.56,170.8472,5726300
2023-01-17,178.44,181.32,178.18,180.49,173.6665,10697700
2023-01-18,180.82,182.38,176.94,177.23,170.5297,8899200
2023-01-19,176.61,179.95,176.16,179.0,172.2328,5907200
2023-01-20,178.81,181.36,177.52,180.9,174.061,10477900
2023-01-23,181.21,182.55,180.03,180.66,173.83,8381300
2023-01-24,181.09,182.0,178.7,180.83,173.9936,5989000
2023-01-25,179.29,180.03,176.35,179.08,172.3098,6727500
2023-01-26,184.99,187.81,183.48,187.79,180.6905,14307800
2023-01-27,184.23,184.23,177.92,179.45,172.6658,19654700
2023-01-30,178.0,178.34,173.67,174.2,167.6143,11476000
2023-01-31,172.75,174.63,171.42,174.02,167.4411,14481300
2023-02-01,173.31,173.66,169.54,171.36,164.8816,11526400
2023-02-02,171.13,171.43,166.82,169.01,162.6205,10463400
2023-02-03,169.86,171.55,168.49,169.45,163.0438,8404900
2023-02-06,169.56,170.12,167.37,169.64,163.2267,7659500
2023-02-07,170.07,174.39,169.61,174.09,167.5084,10256500
2023-02-08,172.48,174.07,169.47,170.0,163.5731,9784700
2023-02-09,170.23,170.66,168.0,168.44,162.072,10123400
2023-02-10,170.8,172.73,170.78,171.97,165.4686,11602400
2023-02-13,171.32,171.9,169.77,171.01,164.5449,9442900
2023-02-14,170.48,173.51,169.98,172.32,165.8053,8077300
2023-02-15,169.4,169.52,167.5,169.01,164.0581,8885700
2023-02-16,168.19,168.66,166.4,166.57,161.6896,6727500
2023-02-17,164.73,164.84,161.85,162.85,158.0786,9612100
2023-02-21,162.18,163.75,160.7,161.0,156.2828,7259700
2023-02-22,160.28,161.66,158.91,160.35,155.6518,6205900
2023-02-23,162.25,162.84,160.56,161.93,157.1855,6445500
2023-02-24,160.77,162.6,159.15,162.41,157.6515,5330200
2023-02-27,163.01,163.37,161.92,162.82,158.0494,6386800
2023-02-28,164.32,164.32,160.28,160.77,156.0595,10854200
2023-03-01,160.92,163.59,160.59,162.05,157.302,7470400
2023-03-02,161.98,163.49,161.59,162.56,157.7971,5582000
2023-03-03,160.87,165.58,160.42,164.96,160.1267,6007500
2023-03-06,164.34,166.8,163.81,166.17,161.3013,7703600
2023-03-07,165.7,166.6,163.58,164.03,159.224,7393000
2023-03-08,163.23,165.29,161.38,162.99,158.2145,5435800
2023-03-09,163.79,165.49,160.19,160.51,155.8071,6214700
2023-03-10,160.94,164.67,158.67,159.67,154.9917,7385800
2023-03-13,156.44,160.95,153.8,158.71,154.0599,10106100
2023-03-14,158.26,164.02,157.88,160.76,156.0498,10035200
2023-03-15,155.59,157.95,152.01,153.8,149.2937,14063100
2023-03-16,150.16,155.47,149.91,154.29,149.7694,12849600
2023-03-17,153.62,155.38,150.6,152.34,147.8765,33161800
2023-03-20,151.74,155.78,151.29,154.58,150.0509,8469200
2023-03-21,157.16,159.57,156.47,159.31,154.6423,9753500
2023-03-22,159.87,160.06,155.93,156.07,151.4972,6315000
2023-03-23,157.02,158.76,153.14,154.52,149.9926,7859400
2023-03-24,152.1,156.65,151.83,156.06,151.4875,6600100
2023-03-27,157.4,158.48,155.69,157.65,153.0309,7006800
2023-03-28,157.28,160.19,156.68,159.49,154.817,5605400
2023-03-29,160.62,161.32,159.33,160.86,156.1469,7569700
2023-03-30,162.25,163.01,161.58,162.39,157.632,6322400
2023-03-31,162.7,163.72,162.15,163.16,158.3795,7041400
2023-04-03,169.8,171.1,168.92,169.95,164.9705,12868200
2023-04-04,171.14,171.14,167.72,169.04,164.0872,7521400
2023-04-05,169.26,170.44,167.74,169.88,164.9026,6478100
2023-04-06,169.35,169.41,167.13,167.65,162.7379,5803200
2023-04-10,168.49,169.68,167.31,168.29,163.3592,5923500
2023-04-11,169.07,170.34,168.07,169.22,164.2619,5469600
2023-04-12,170.45,171.12,169.47,169.82,164.8444,6157900
2023-04-13,170.25,172.47,169.82,172.09,167.0478,6856600
2023-04-14,172.5,172.88,171.22,172.44,167.3876,4930700
2023-04-17,172.39,172.54,170.22,170.92,165.9121,7006000
2023-04-18,170.82,172.39,170.13,170.52,165.5238,8045600
2023-04-19,169.46,170.74,169.1,170.68,165.6792,5506800
2023-04-20,168.76,170.06,168.02,169.85,164.8735,5851100
2023-04-21,169.83,170.59,168.84,169.12,164.1649,7179000
2023-04-24,169.1,172.38,168.58,171.48,166.4557,7177600
2023-04-25,170.32,170.4,168.43,168.99,164.0387,5807200
2023-04-26,168.21,168.95,165.23,165.98,161.1169,5927400
2023-04-27,166.43,167.39,165.07,166.95,162.0584,6417200
2023-04-28,164.5,168.94,164.05,168.58,163.6407,10033600
2023-05-01,167.71,168.73,166.36,167.24,162.3399,6099800
2023-05-02,165.32,165.38,158.45,160.04,155.3509,10701700
2023-05-03,158.15,159.57,156.74,156.83,152.235,7538100
2023-05-04,157.11,158.2,155.42,156.22,151.6428,7500400
2023-05-05,159.3,161.12,158.78,160.21,155.5159,5801500
2023-05-08,161.57,162.3,159.52,159.58,154.9044,5028200
2023-05-09,158.11,160.42,157.91,159.12,154.4579,5019800
2023-05-10,160.44,160.44,155.88,157.09,152.4873,6161200
2023-05-11,155.38,156.32,153.89,156.22,151.6428,6666100
2023-05-12,157.0,157.93,155.56,156.62,152.0311,4897500
2023-05-15,157.23,158.16,156.23,157.2,152.5941,5096700
2023-05-16,156.48,157.02,153.33,153.51,149.0122,7007700
2023-05-17,154.79,156.42,153.96,155.71,151.1478,6169600
2023-05-18,152.87,154.24,151.53,154.01,150.9615,7477700
2023-05-19,154.89,156.44,153.99,155.23,152.1574,8099200
2023-05-22,153.79,154.83,152.09,152.44,149.4226,11661000
2023-05-23,154.14,157.68,153.84,156.85,153.7453,10436200
2023-05-24,157.95,158.57,156.29,157.27,154.157,7064000
2023-05-25,154.68,155.63,153.5,154.56,151.5006,7037700
2023-05-26,155.29,155.63,153.46,154.08,151.0301,7736200
2023-05-30,151.67,153.26,151.21,153.12,150.0891,7814800
2023-05-31,151.54,152.42,150.36,150.62,147.6386,13346400
2023-06-01,151.3,153.74,149.74,152.16,149.1481,9887700
2023-06-02,154.58,156.75,153.61,156.26,153.167,9460100
2023-06-05,158.45,158.45,155.24,155.51,152.4318,6443800
2023-06-06,153.33,156.16,153.2,155.79,152.7063,6176400
2023-06-07,156.55,160.21,156.5,159.83,156.6663,9900000
2023-06-08,160.16,160.49,157.09,159.24,156.088,7142200
2023-06-09,159.28,160.39,158.62,158.86,155.7155,6669500
2023-06-12,157.06,159.33,156.23,157.33,154.2158,7159600
2023-06-13,158.52,160.58,158.27,158.51,155.3725,7660800
2023-06-14,159.98,160.77,156.15,157.09,153.9806,7721100
2023-06-15,157.32,159.79,157.32,158.28,155.147,7705400
2023-06-16,158.57,159.24,157.26,157.26,154.1472,22908100
2023-06-20,156.15,156.57,152.24,153.68,150.6381,10438700
2023-06-21,152.67,155.96,152.5,154.88,151.8143,7328200
2023-06-22,153.35,153.59,151.97,152.64,149.6186,7088600
2023-06-23,151.01,151.7,150.13,151.35,148.3542,15172700
2023-06-26,151.62,154.97,151.54,154.01,150.9615,7371800
2023-06-27,153.5,154.71,152.82,153.53,150.491,6581700
2023-06-28,153.44,155.02,152.19,154.92,151.8535,5773800
2023-06-29,155.43,156.27,154.44,156.24,153.1474,5633500
2023-06-30,157.46,157.92,156.6,157.35,154.2354,6346600
2023-07-03,157.18,158.1,156.7,157.21,154.0982,3272600
2023-07-05,157.7,157.7,155.12,156.31,153.216,6318700
2023-07-06,155.2,155.83,151.63,152.88,149.8539,9203000
2023-07-07,152.14,155.99,151.96,154.22,151.1674,6601300
2023-07-10,153.93,155.79,153.92,155.25,152.177,5167900
2023-07-11,156.0,158.41,155.66,158.12,154.9902,5061500
2023-07-12,159.22,160.34,158.33,159.64,156.4801,6464000
2023-07-13,159.84,160.6,156.57,157.51,154.3922,8143900
2023-07-14,157.01,157.02,153.3,153.58,150.54,7051300
2023-07-17,153.35,154.14,152.64,153.44,150.4028,4351700
2023-07-18,152.67,156.07,152.37,153.75,150.7067,6798700
2023-07-19,153.83,155.78,153.28,154.69,151.6281,5653100
2023-07-20,156.16,157.19,155.71,156.4,153.3042,5866600
2023-07-21,157.53,158.83,157.06,158.69,155.5489,8753500
2023-07-24,160.47,164.04,160.01,161.82,158.6169,9722100
2023-07-25,161.91,163.51,160.66,162.56,159.3423,6767600
2023-07-26,160.88,162.09,160.55,161.34,158.1464,6056400
2023-07-27,162.09,162.47,159.22,159.66,156.4997,6470100
2023-07-28,158.41,159.0,156.51,158.87,155.7253,6542300
2023-07-31,161.13,163.98,160.62,163.66,160.4205,13056300
2023-08-01,163.64,163.64,160.55,162.3,159.0874,7531400
2023-08-02,161.17,161.22,158.06,159.73,156.5683,7067100
2023-08-03,159.91,161.7,158.85,159.67,156.5095,6680700
2023-08-04,160.66,163.02,159.04,159.31,156.1566,10182300
2023-08-07,161.01,161.38,159.08,159.89,156.7251,13927400
2023-08-08,157.94,159.79,156.22,159.65,156.4899,6451300
2023-08-09,160.86,161.44,159.31,159.86,156.6957,10531500
2023-08-10,160.33,162.48,159.62,160.83,157.6465,8647100
2023-08-11,160.5,164.17,160.18,164.15,160.9008,6680300
2023-08-14,163.77,164.25,162.61,164.03,160.7832,6060100
2023-08-15,163.4,163.41,159.1,159.24,156.088,7876500
2023-08-16,160.52,161.83,158.47,158.63,155.4901,7920500
2023-08-17,159.18,162.14,158.97,159.75,158.0928,8270500
2023-08-18,158.38,161.32,158.16,160.9,159.2309,5998600
2023-08-21,161.2,162.07,159.45,160.36,158.6965,6802300
2023-08-22,160.49,161.25,158.97,159.04,157.3902,6081700
2023-08-23,158.14,159.41,156.7,159.25,157.598,4975600
2023-08-24,157.73,159.89,157.56,157.94,156.3016,5989600
2023-08-25,159.07,159.91,157.65,159.12,157.4693,5291800
2023-08-28,159.53,161.8,159.22,160.21,158.548,4386100
2023-08-29,160.91,160.95,159.1,159.96,158.3006,5374800
2023-08-30,160.59,161.25,159.93,160.18,158.5183,5534900
2023-08-31,161.01,161.24,159.93,161.1,159.4288,7003700
2023-09-01,162.64,164.69,162.64,164.3,162.5956,6660400
2023-09-05,165.28,167.56,165.2,166.46,164.7332,9755800
2023-09-06,166.28,167.44,165.58,166.63,164.9014,7195500
2023-09-07,167.14,167.9,166.28,166.64,164.9113,7925900
2023-09-08,167.42,168.49,166.71,167.21,165.4754,7434400
2023-09-11,168.08,168.59,162.87,163.76,162.0612,7155100
2023-09-12,165.3,167.19,165.1,166.81,165.0796,7521100
2023-09-13,167.41,167.75,165.58,166.2,164.4759,5759500
2023-09-14,167.7,168.5,167.12,167.23,165.4952,8822800
2023-09-15,166.21,168.37,165.88,166.5,164.7728,17266500
2023-09-18,167.87,168.36,166.4,167.22,165.4853,7027600
2023-09-19,168.69,168.96,166.43,167.2,165.4655,6615100
2023-09-20,167.07,168.51,166.6,166.69,164.9608,5939100
2023-09-21,167.12,167.87,165.05,165.19,163.4764,7150000
2023-09-22,166.23,167.42,165.94,166.28,164.5551,5963000
2023-09-25,166.33,168.78,165.99,168.71,166.9598,5510000
2023-09-26,167.44,168.41,166.98,167.8,166.0593,5659200
2023-09-27,169.37,171.23,168.81,171.04,169.2657,9124400
2023-09-28,170.55,171.7,169.43,170.59,168.8203,7151800
2023-09-29,170.49,170.5,167.82,168.62,166.8708,7395200
2023-10-02,168.34,168.57,165.23,166.54,164.8124,6839600
2023-10-03,165.92,167.36,165.51,166.93,165.1983,6168600
2023-10-04,164.7,164.98,161.49,163.04,161.3487,9664700
2023-10-05,161.42,164.75,161.39,163.9,162.1997,8073000
2023-10-06,164.31,164.37,158.99,162.23,160.5471,10187400
2023-10-09,166.38,168.19,164.95,166.72,164.9905,8183500
2023-10-10,166.77,167.4,165.68,166.54,164.8124,6512900
2023-10-11,165.07,165.08,160.48,161.1,159.4288,12570700
2023-10-12,163.26,163.26,160.9,161.23,159.5574,7397000
2023-10-13,163.41,164.84,162.3,164.06,162.3581,8042800
2023-10-16,165.34,165.81,163.85,165.4,163.6842,5446000
2023-10-17,164.83,168.2,164.65,167.59,165.8515,7538300
2023-10-18,168.47,169.7,167.58,168.92,167.1677,6893500
2023-10-19,168.7,170.17,167.51,169.1,167.3458,6580200
2023-10-20,168.41,169.1,166.1,166.83,165.0994,7457300
2023-10-23,163.3,164.43,160.25,160.68,159.0131,16232400
2023-10-24,160.89,161.08,156.47,156.65,155.025,17689900
2023-10-25,156.94,157.41,155.17,155.87,154.253,10502400
2023-10-26,155.01,155.18,153.63,154.75,153.1447,10830400
2023-10-27,150.72,151.25,143.96,144.35,142.8526,24524300
2023-10-30,145.66,146.44,144.32,146.09,144.5745,13857100
2023-10-31,146.1,146.52,144.23,145.73,144.2182,14261300
2023-11-01,145.98,146.01,143.82,143.98,142.4864,10819600
2023-11-02,144.54,149.0,143.83,148.76,147.2168,11099100
2023-11-03,148.3,148.56,146.15,147.61,146.0787,13153000
2023-11-06,148.73,149.33,146.69,147.0,145.4751,10634200
2023-11-07,145.16,145.61,143.24,144.41,142.9119,15054600
2023-11-08,143.88,144.65,142.25,142.4,140.9228,12654100
2023-11-09,143.05,143.91,141.78,141.94,140.4676,10359500
2023-11-10,143.29,143.44,141.73,142.95,141.4671,11988200
2023-11-13,143.15,144.3,142.85,144.0,142.5062,8747700
2023-11-14,144.48,145.5,143.86,145.05,143.5453,11224400
2023-11-15,144.86,146.64,144.41,145.56,144.05,10052100
2023-11-16,143.02,143.51,140.74,141.77,141.77,14031300
2023-11-17,142.95,145.19,142.4,144.46,144.46,11075600
2023-11-20,144.63,145.69,144.27,144.38,144.38,8062400
2023-11-21,143.83,144.3,142.7,144.04,144.04,6783300
2023-11-22,141.74,144.39,140.72,144.33,144.33,7216100
2023-11-24,144.3,145.94,144.2,144.9,144.9,3861000
2023-11-27,144.65,144.82,142.85,144.36,144.36,9850800
2023-11-28,144.78,146.52,144.06,145.51,145.51,9746500
