date,open,high,low,close,adjusted_close,volume
2023-01-03,60.73,61.26,57.22,58.12,54.7547,10613240
2023-01-04,56.88,59.26,56.41,58.9,55.4895,9690884
2023-01-05,58.86,60.5,58.57,60.17,56.686,8812137
2023-01-06,61.17,62.26,60.8,61.23,57.6846,7332509
2023-01-09,62.69,63.49,61.94,62.2,58.5984,7567909
2023-01-10,62.8,63.16,61.47,63.13,59.4746,5909275
2023-01-11,63.94,64.11,62.255,62.85,59.2108,7557065
2023-01-12,63.44,64.78,63.2702,64.03,60.3225,7232049
2023-01-13,63.91,64.15,62.88,63.59,59.908,5474122
2023-01-17,63.77,64.39,63.19,63.49,59.8137,5383876
2023-01-18,64.04,65.41,62.59,62.62,58.9941,8349637
2023-01-19,62.18,64.2,62.04,64.08,60.3696,7312935
2023-01-20,64.31,64.95,63.3921,64.75,61.0008,7093792
2023-01-23,65.33,66.26,65.0435,65.76,61.9523,6246101
2023-01-24,65.75,66.12,63.81,63.97,60.266,7043504
2023-01-25,63.4,64.18,62.41,64.17,60.4544,5834717
2023-01-26,65.13,65.73,63.69,65.72,61.9146,6346714
2023-01-27,65.72,66.955,65.25,65.27,61.4907,7210246
2023-01-30,64.6,64.94,62.29,62.34,58.7303,8003892
2023-01-31,62.4,63.735,61.96,63.24,59.5782,7472273
2023-02-01,62.56,62.8,60.74,61.89,58.3064,9653361
2023-02-02,62.06,62.06,60.0,60.95,57.4208,8770255
2023-02-03,61.0,62.535,60.765,60.85,57.3266,6564084
2023-02-06,60.61,61.3209,59.305,60.14,56.6577,7394882
2023-02-07,60.72,62.33,59.855,62.21,58.6079,8170789
2023-02-08,62.3,62.8,60.9,61.33,57.7788,7848736
2023-02-09,61.27,61.51,60.16,60.3,56.8085,5685323
2023-02-10,61.37,63.69,61.22,63.54,59.8609,8727505
2023-02-13,62.96,64.11,62.4,63.56,59.8797,7606834
2023-02-14,62.92,64.4042,62.54,63.94,60.2377,8775617
2023-02-15,58.85,59.17,55.4,57.23,53.9162,52451719
2023-02-16,57.01,57.4174,55.68,55.72,52.4937,17678660
2023-02-17,54.8,54.8,52.45,53.33,50.242,25514590
2023-02-21,53.68,54.09,53.19,53.73,50.6189,11378830
2023-02-22,53.71,54.35,52.56,53.59,50.487,13144360
2023-02-23,54.4,55.2662,53.8,55.0,51.8153,11919440
2023-02-24,54.42,55.19,53.9012,55.0,51.8153,10030080
2023-02-27,55.12,55.27,54.26,54.52,51.3631,9624194
2023-02-28,54.97,55.13,53.88,53.92,50.7979,10887290
2023-03-01,53.82,55.045,53.56,54.74,51.5704,9308078
2023-03-02,54.25,56.0,54.2,55.7,52.4748,8666721
2023-03-03,54.91,57.13,54.7765,56.67,53.3886,10997780
2023-03-06,56.16,56.7999,55.87,56.49,53.2191,8926267
2023-03-07,56.11,56.34,54.76,55.03,51.8436,9492546
2023-03-08,54.69,55.58,54.01,54.5,51.3443,8379129
2023-03-09,54.82,55.37,52.85,52.98,49.9123,9275201
2023-03-10,52.85,53.67,51.335,51.76,48.7629,12351120
2023-03-13,50.0,51.07,49.0201,49.98,47.086,15449730
2023-03-14,49.01,50.84,48.3101,49.22,47.2107,12442470
2023-03-15,47.09,47.27,44.37,45.12,43.2781,23274160
2023-03-16,44.41,46.35,44.03,46.27,44.3811,14265570
2023-03-17,46.31,46.45,45.041,46.15,44.266,28300461
2023-03-20,46.0,47.315,45.98,47.0,45.0813,8906614
2023-03-21,48.04,49.51,47.88,49.06,47.0572,11184700
2023-03-22,49.19,49.54,47.685,47.76,45.8103,8633194
2023-03-23,48.13,48.605,46.231,46.72,44.8128,8905813
2023-03-24,45.45,46.985,45.44,46.57,44.6689,8731451
2023-03-27,47.4,48.405,46.575,48.08,46.1172,7759554
2023-03-28,47.72,49.2225,47.68,48.57,46.5872,7671145
2023-03-29,49.47,49.92,49.25,49.79,47.7574,8150408
2023-03-30,50.55,50.66,49.63,49.85,47.815,6603029
2023-03-31,50.33,50.85,50.12,50.61,48.544,7652511
2023-04-03,53.41,54.66,52.9,53.31,51.1337,18907020
2023-04-04,53.3,53.52,51.5,52.74,50.587,10252660
2023-04-05,52.8,53.59,52.1,53.53,51.3448,8297227
2023-04-06,53.23,53.53,52.72,52.91,50.7501,6239534
2023-04-10,53.1,54.53,53.1,53.39,51.2105,6996916
2023-04-11,53.76,54.8085,53.48,54.3,52.0833,6427267
2023-04-12,54.53,55.25,54.26,54.54,52.3135,7277163
2023-04-13,54.4,55.49,54.39,55.22,52.9658,6567524
2023-04-14,55.26,56.06,55.1,55.7,53.4262,5969343
2023-04-17,55.59,56.19,55.08,55.3,53.0425,6132122
2023-04-18,54.9,55.4587,54.485,55.22,52.9658,5329726
2023-04-19,54.18,54.96,53.9515,54.85,52.6109,5112343
2023-04-20,53.79,54.15,53.47,54.02,51.8148,6705658
2023-04-21,54.17,54.17,53.24,53.63,51.4407,5510398
2023-04-24,53.53,54.8414,53.39,54.47,52.2464,5473355
2023-04-25,53.6,53.76,52.65,53.21,51.0378,6242652
2023-04-26,52.72,53.33,51.535,52.2,50.0691,6955878
2023-04-27,52.51,52.68,51.4,52.25,50.117,6360449
2023-04-28,52.12,54.025,51.94,53.43,51.2488,7666415
2023-05-01,52.69,53.74,52.53,53.24,51.0666,5921734
2023-05-02,52.14,52.39,49.955,50.71,48.6399,9588113
2023-05-03,49.5,50.15,48.865,49.01,47.0093,9470833
2023-05-04,49.13,49.75,48.045,48.24,46.2707,7220125
2023-05-05,49.9,50.86,49.7,50.36,48.3042,8325285
2023-05-08,51.76,52.03,50.9499,51.0,48.918,8842450
2023-05-09,50.23,51.24,48.8,49.17,47.1628,13774430
2023-05-10,49.17,49.21,47.2,48.11,46.146,12036130
2023-05-11,47.33,47.85,46.89,47.26,45.3307,7922497
2023-05-12,47.64,47.79,46.84,47.52,45.5801,5950692
2023-05-15,47.93,48.1871,47.43,47.71,45.7624,7186988
2023-05-16,47.36,47.66,46.05,46.13,44.2469,8037375
2023-05-17,46.59,48.2801,46.45,47.71,45.7624,7930878
2023-05-18,47.37,48.37,47.06,48.28,46.3091,6115882
2023-05-19,49.03,49.59,48.82,49.2,47.1915,8291107
2023-05-22,49.19,49.98,48.905,49.32,47.3066,5510670
2023-05-23,49.75,50.17,49.06,49.11,47.1052,7381040
2023-05-24,49.27,50.05,48.68,49.67,47.6423,6902974
2023-05-25,48.68,48.92,47.665,47.87,45.9158,11289770
2023-05-26,48.45,48.4914,47.58,48.07,46.1077,6377076
2023-05-30,47.31,47.71,46.32,46.96,45.043,11242780
2023-05-31,46.31,46.79,45.885,46.1,44.2181,11537800
2023-06-01,46.31,47.73,45.98,46.78,44.8703,7568042
2023-06-02,47.88,49.015,47.5,48.53,46.5489,8829438
2023-06-05,49.6,49.73,48.235,48.37,46.3954,8647706
2023-06-06,47.5,49.035,47.41,48.95,46.9517,5952518
2023-06-07,49.29,50.51,49.09,50.05,48.0068,7190013
2023-06-08,49.86,50.4888,48.96,50.02,47.9781,7169588
2023-06-09,49.93,50.48,49.515,49.87,47.8342,6109208
2023-06-12,49.09,50.04,48.9,49.4,47.3834,8625330
2023-06-13,50.76,51.41,50.32,50.39,48.3329,13214220
2023-06-14,50.08,50.67,48.62,48.95,47.6323,10790680
2023-06-15,49.12,50.2682,48.95,49.6,48.2648,8670030
2023-06-16,49.95,50.22,49.58,49.8,48.4594,16259050
2023-06-20,49.23,49.415,47.39,48.27,46.9706,10546490
2023-06-21,48.2,49.33,48.13,48.94,47.6226,6950786
2023-06-22,48.14,48.2,47.48,47.69,46.4062,7248967
2023-06-23,47.0,47.4,46.895,47.15,45.8808,13663570
2023-06-26,47.29,48.19,47.21,47.74,46.4549,6833748
2023-06-27,47.67,47.99,47.31,47.32,46.0462,7871695
2023-06-28,47.54,47.9,46.8855,47.69,46.4062,8819708
2023-06-29,47.935,48.43,47.74,48.4,47.0971,6745828
2023-06-30,49.1,49.1,48.32,48.34,47.0387,8876820
2023-07-03,48.35,49.09,48.28,48.83,47.5156,4385712
2023-07-05,49.28,49.3999,48.25,48.5,47.1944,7530596
2023-07-06,48.0,48.47,46.7,47.55,46.27,9507120
2023-07-07,47.19,49.375,47.1001,48.85,47.535,9701802
2023-07-10,48.56,49.44,48.4,49.19,47.8659,5793477
2023-07-11,49.75,50.79,49.525,50.56,49.199,8670825
2023-07-12,51.2,51.57,50.77,51.09,49.7147,7640915
2023-07-13,51.05,51.81,50.6,51.11,49.7342,7168505
2023-07-14,50.69,50.69,48.73,48.9,47.5837,9704500
2023-07-17,48.7,49.1,48.35,48.92,47.6031,6490990
2023-07-18,49.0,50.94,48.93,50.51,49.1503,9096968
2023-07-19,50.47,51.15,50.36,50.62,49.2574,8251241
2023-07-20,51.18,51.79,50.905,51.4,50.0164,8133559
2023-07-21,51.635,52.47,51.27,52.26,50.8532,9921947
2023-07-24,52.5,53.575,52.38,53.09,51.6609,9023986
2023-07-25,53.0,53.8,52.86,53.4,51.9625,5546957
2023-07-26,52.81,53.48,52.72,53.15,51.7193,5078825
2023-07-27,53.6,53.65,52.01,52.22,50.8143,7478552
2023-07-28,52.55,53.02,52.08,53.0,51.5733,5559352
2023-07-31,53.5,54.2175,53.43,54.0,52.5464,6933533
2023-08-01,53.66,53.94,53.06,53.68,52.235,7391694
2023-08-02,52.02,52.02,49.39,49.74,48.4011,21330900
2023-08-03,50.05,51.75,49.89,50.83,49.4617,12958610
2023-08-04,51.13,51.9775,50.69,50.8,49.4325,11888770
2023-08-07,50.8,51.345,50.5,50.81,49.4423,6614011
