date,open,high,low,close,adjusted_close,volume
2023-01-03,128.0,129.27,122.89,124.45,117.6885,2994930
2023-01-04,121.93,125.54,121.34,124.36,117.6034,2469850
2023-01-05,124.15,125.74,123.83,124.38,117.6223,3560171
2023-01-06,126.17,129.15,125.61,127.47,120.5445,2595724
2023-01-09,129.63,130.2,127.0631,127.75,120.8093,3160483
2023-01-10,128.61,128.69,126.09,127.61,120.6769,2575387
2023-01-11,129.17,129.67,125.68,126.85,119.9582,2771179
2023-01-12,127.91,132.1026,127.6,130.45,123.3626,4005443
2023-01-13,129.87,130.2,127.925,129.46,123.2055,2111417
2023-01-17,129.83,130.97,128.665,130.06,123.7765,3127767
2023-01-18,131.41,133.82,128.3,128.79,122.5679,3737444
2023-01-19,128.97,131.9114,127.63,131.29,124.9471,2449558
2023-01-20,131.35,133.45,130.68,132.75,126.3366,2477026
2023-01-23,133.5,135.03,133.26,134.18,127.6975,2695188
2023-01-24,134.0,134.86,132.38,132.76,126.3461,2313141
2023-01-25,132.09,132.8,130.7838,132.5,126.0987,2576336
2023-01-26,134.4,136.0,132.68,135.93,129.363,2617768
2023-01-27,136.0,137.95,134.44,134.66,128.1543,3035559
2023-01-30,133.18,133.52,131.42,132.1,125.718,2927128
2023-01-31,132.0,133.73,131.55,132.25,125.8607,4043336
2023-02-01,131.23,131.74,125.39,127.29,121.1404,4991831
2023-02-02,126.8,127.11,123.09,124.75,118.7231,3928668
2023-02-03,125.0,127.82,124.37,124.62,118.5994,4205834
2023-02-06,124.83,125.27,122.13,123.83,117.8475,2486692
2023-02-07,124.51,127.97,123.19,127.78,121.6067,2524804
2023-02-08,127.79,129.543,127.56,128.64,122.4251,4107716
2023-02-09,128.69,129.01,126.78,127.16,121.0166,2487251
2023-02-10,130.0,134.22,129.02,134.14,127.6594,4041048
2023-02-13,133.16,134.73,131.24,133.28,126.841,2936968
2023-02-14,131.6,134.24,131.25,133.13,126.6982,2190438
2023-02-15,131.27,131.72,126.51,128.53,122.3205,4346285
2023-02-16,127.71,128.52,124.99,125.14,119.0942,2877243
2023-02-17,122.2,122.62,117.39,118.42,112.6989,6201928
2023-02-21,118.42,119.675,117.7201,119.23,113.4698,4582099
2023-02-22,118.89,120.845,116.7901,117.57,111.89,3772405
2023-02-23,120.02,120.2,117.51,119.53,113.7553,3846414
