date,open,high,low,close,adjusted_close,volume
2023-01-03,134.97,136.32,129.61,131.38,124.4835,2400000
2023-01-04,129.11,133.19,128.08,130.62,123.7634,1700000
2023-01-05,131.08,135.24,130.26,134.04,127.0039,2410000
2023-01-06,136.5,139.38,135.7,138.14,130.8887,2470000
2023-01-09,140.84,143.36,140.27,141.49,134.0628,2410000
2023-01-10,142.52,143.12,139.77,141.95,134.4987,1750000
2023-01-11,144.2,144.57,140.24,142.24,134.7734,2200000
2023-01-12,142.55,146.73,142.55,145.33,137.7012,1960000
2023-01-13,145.54,146.0,143.87,145.24,137.616,1530000
2023-01-17,146.17,147.28,145.37,145.73,138.0802,1740000
2023-01-18,146.44,149.64,143.91,144.1,136.5358,2180000
2023-01-19,143.23,146.9,141.77,146.43,138.7435,1810000
2023-01-20,146.65,147.89,145.19,147.55,139.8047,1530000
2023-01-23,149.0,150.21,148.31,149.35,141.5102,1470000
2023-01-24,149.95,150.5,146.51,147.24,139.511,1210000
2023-01-25,147.45,147.46,143.3,147.08,139.3594,1650000
2023-01-26,149.3,149.99,146.55,149.89,142.0219,2200000
2023-01-27,150.0,152.79,149.56,150.96,143.0357,1630000
2023-01-30,148.69,149.0,145.21,145.34,137.7107,2420000
2023-01-31,145.06,147.6,143.87,146.12,138.4498,1630000
2023-02-01,145.0,145.63,140.92,143.35,135.8252,2550000
2023-02-02,142.97,142.97,137.03,137.57,130.3486,2730000
2023-02-03,138.4,141.34,137.66,138.4,131.135,1550000
2023-02-06,138.09,140.0,135.05,137.12,129.9222,1750000
2023-02-07,138.22,143.7,136.5,143.56,136.0242,2410000
2023-02-08,144.88,145.26,142.53,144.29,136.7158,2030000
2023-02-09,144.24,144.65,141.23,141.47,134.0439,2000000
2023-02-10,144.03,149.37,143.58,149.29,141.4534,2820000
2023-02-13,147.92,150.39,147.21,148.23,140.449,2780000
2023-02-14,146.33,150.73,146.0,149.87,142.0029,1610000
2023-02-15,147.55,147.69,143.86,145.64,137.995,3960000
2023-02-16,144.81,145.92,141.7,141.76,134.3186,2540000
2023-02-17,139.28,139.28,133.3,134.68,127.6103,4160000
2023-02-21,135.31,135.9,133.38,134.21,127.165,2600000
2023-02-22,136.8,142.44,135.05,137.29,130.0833,3630000
2023-02-23,138.8,142.46,137.68,141.6,134.167,2940000
2023-02-24,140.18,143.78,139.24,142.38,134.9061,2200000
2023-02-27,143.16,145.27,141.83,144.36,136.7822,2280000
2023-02-28,146.41,146.59,140.52,140.58,133.2006,2520000
2023-03-01,140.29,145.15,139.23,144.62,137.0285,3370000
