date,open,high,low,close,adjusted_close,volume
2023-01-03,38.96,39.54,36.99,37.66,36.9951,6941200
2023-01-04,37.07,38.57,36.89,38.43,37.7515,7446900
2023-01-05,38.37,39.35,38.17,38.95,38.2623,8773400
2023-01-06,39.42,40.91,39.38,40.21,39.5001,8136800
2023-01-09,40.91,41.66,40.27,40.44,39.726,13191700
2023-01-10,40.55,41.08,39.85,40.94,40.2172,7755900
2023-01-11,41.5,41.68,40.42,40.99,40.2663,9881200
2023-01-12,41.5,42.99,41.38,42.17,41.4255,10369600
2023-01-13,42.07,42.74,41.52,42.66,41.9068,6660300
2023-01-17,42.6,43.0,42.01,42.53,41.7791,9622100
2023-01-18,43.0,43.42,40.49,40.6,39.8832,11739800
2023-01-19,40.41,40.8,39.49,40.19,39.4804,9945900
2023-01-20,40.41,41.31,39.93,40.69,39.9716,8615200
2023-01-23,41.09,41.27,40.3,40.57,39.8537,10789900
2023-01-24,40.0,41.0,39.18,39.84,39.1366,11912100
2023-01-25,39.7,40.28,38.42,40.03,39.3232,10474700
2023-01-26,40.5,41.06,39.5,41.0,40.2761,8879700
2023-01-27,40.9,41.16,40.17,40.52,39.8046,10399200
2023-01-30,40.2,40.97,40.03,40.34,39.6278,8922400
2023-01-31,40.31,41.24,40.09,41.22,40.4922,7549600
2023-02-01,40.84,41.17,39.8,40.84,40.1189,13876700
2023-02-02,40.55,40.59,38.28,38.56,37.8792,13518000
2023-02-03,38.3,39.47,37.92,38.57,37.889,12724000
2023-02-06,38.46,38.85,37.53,38.31,37.6336,7887400
2023-02-07,38.72,39.19,38.12,39.03,38.3409,6368300
2023-02-08,39.1,39.6,38.67,39.28,38.5865,6181500
2023-02-09,39.06,39.19,37.37,37.66,36.9951,13780700
2023-02-10,38.08,39.1,38.07,39.02,38.3311,8129400
2023-02-13,38.6,39.72,38.16,39.27,38.5767,6827500
2023-02-14,38.76,39.62,38.38,38.96,38.2721,5844500
2023-02-15,38.34,38.34,37.31,37.95,37.28,7489500
2023-02-16,37.9,39.12,37.64,38.58,37.8988,8013200
2023-02-17,37.79,37.88,36.09,36.5,35.8556,9565100
2023-02-21,36.35,36.83,36.15,36.4,35.7573,6049000
2023-02-22,36.26,36.56,35.43,35.71,35.0795,7377700
2023-02-23,36.49,36.78,35.79,36.23,35.5903,5403300
2023-02-24,35.94,37.08,35.28,36.99,36.3369,8757500
2023-02-27,36.85,37.42,36.67,37.18,36.5236,7597200
2023-02-28,37.43,37.44,36.15,36.23,35.7442,11298100
2023-03-01,36.29,37.66,36.21,37.51,37.007,6128600
2023-03-02,37.36,38.59,37.11,38.39,37.8752,6917400
2023-03-03,37.95,39.06,37.75,38.89,38.3685,5885800
2023-03-06,38.53,38.92,38.22,38.86,38.3389,5164100
2023-03-07,38.56,38.66,37.76,37.85,37.3424,5195800
2023-03-08,37.8,38.19,36.78,37.16,36.6617,5565200
2023-03-09,37.41,37.66,35.54,35.57,35.093,7695600
2023-03-10,35.5,35.96,34.35,34.53,34.067,8529500
2023-03-13,33.72,34.6,32.66,33.38,32.9324,11090100
2023-03-14,33.69,34.51,32.7,33.42,32.9718,8145700
2023-03-15,31.82,32.01,29.47,30.41,30.0022,23463100
2023-03-16,29.56,31.11,29.1,31.0,30.5843,15457400
2023-03-17,30.63,30.78,29.67,29.95,29.5484,17666200
2023-03-20,30.18,31.13,30.06,30.69,30.2784,12240900
2023-03-21,31.86,32.2,31.12,31.94,31.5117,12423000
2023-03-22,32.19,32.19,30.43,30.46,30.0515,9846700
2023-03-23,30.57,30.94,29.1,29.42,29.0255,9860600
2023-03-24,28.6,29.88,28.58,29.6,29.2031,11349900
2023-03-27,30.2,30.74,29.4,30.58,30.1699,9123100
2023-03-28,30.51,31.42,30.44,31.29,30.8704,6983900
2023-03-29,31.71,31.71,31.12,31.35,30.9296,9118500
2023-03-30,31.89,31.92,30.84,31.06,30.6435,8661400
2023-03-31,31.17,31.7,30.76,31.64,31.2157,10579600
2023-04-03,33.5,34.69,33.5,34.1,33.6427,23958200
2023-04-04,34.25,34.4,32.88,33.23,32.7844,13291500
2023-04-05,33.26,33.4,32.45,33.06,32.6167,7919400
2023-04-06,33.1,33.2,32.51,32.71,32.2714,5832700
2023-04-10,32.91,33.68,32.75,33.09,32.6463,6514000
2023-04-11,33.3,34.22,33.09,33.73,33.2777,7355700
2023-04-12,33.85,34.03,33.28,33.59,33.1396,7510500
2023-04-13,33.62,34.11,33.47,33.81,33.3566,5582700
2023-04-14,33.94,34.09,33.28,33.63,33.179,6845800
2023-04-17,33.58,33.92,33.24,33.44,32.9916,6513900
2023-04-18,33.33,33.95,33.22,33.88,33.4257,8243600
2023-04-19,33.63,34.22,33.33,34.11,33.6526,8736600
2023-04-20,33.5,33.94,33.36,33.87,33.4158,7708800
2023-04-21,34.03,34.05,33.04,33.4,32.9521,10337000
2023-04-24,33.55,34.82,33.51,34.47,34.0078,10320400
2023-04-25,34.07,34.8,32.82,33.25,32.8041,15761500
2023-04-26,32.88,33.31,31.5,31.72,31.2946,10696500
2023-04-27,31.2,32.07,30.79,32.0,31.5709,11327500
2023-04-28,31.77,32.93,31.58,32.75,32.3108,8327800
2023-05-01,32.22,32.85,32.08,32.55,32.1135,9324900
2023-05-02,31.94,31.99,29.79,29.86,29.4596,12164500
2023-05-03,29.3,29.88,29.09,29.15,28.7591,9849200
2023-05-04,29.07,29.43,28.47,29.02,28.6308,10565800
2023-05-05,30.19,30.3,29.79,29.88,29.4793,8593600
2023-05-08,30.59,30.83,29.95,29.95,29.5484,5887700
2023-05-09,29.52,30.44,29.39,30.1,29.6964,8923600
2023-05-10,30.32,30.37,29.21,29.56,29.1636,9392300
2023-05-11,29.0,29.19,28.08,28.49,28.1079,10903600
2023-05-12,28.82,29.18,28.42,28.61,28.2263,9583700
2023-05-15,28.83,29.48,28.66,29.1,28.7098,7121300
2023-05-16,28.91,29.06,27.84,27.88,27.5061,8574300
2023-05-17,28.34,29.17,27.89,28.94,28.5519,9419100
2023-05-18,28.68,29.94,28.47,29.87,29.4694,10857800
2023-05-19,30.25,30.6,29.9,30.17,29.7654,9637100
2023-05-22,30.15,30.53,29.8,30.22,29.8147,8872700
2023-05-23,30.35,30.77,30.04,30.58,30.1699,9699400
2023-05-24,30.79,31.29,30.53,30.82,30.4067,11404700
2023-05-25,30.25,30.58,29.96,30.32,29.9134,10320000
2023-05-26,30.61,30.76,29.83,30.2,29.795,9841800
2023-05-30,29.51,29.82,29.12,29.73,29.3313,11485800
2023-05-31,29.1,29.35,28.44,28.65,28.2658,23229500
2023-06-01,28.73,30.25,28.73,30.0,29.5977,10855300
2023-06-02,30.6,32.13,30.52,31.64,31.2157,12554500
2023-06-05,32.35,32.35,30.9,31.16,30.7421,11175400
2023-06-06,30.35,31.4,30.35,31.23,30.9702,8636500
2023-06-07,31.47,32.7,31.31,32.55,32.2793,12005700
2023-06-08,32.69,32.81,31.62,32.15,31.8826,7361400
2023-06-09,32.1,32.77,31.94,32.34,32.071,6962400
2023-06-12,31.61,32.33,31.52,31.73,31.4661,6719800
2023-06-13,32.31,33.62,32.2,32.7,32.428,10079200
2023-06-14,32.99,33.25,31.78,32.05,31.7834,7689100
2023-06-15,32.13,32.94,32.12,32.71,32.4379,7427000
2023-06-16,32.76,32.92,32.32,32.58,32.309,10393300
2023-06-20,32.21,32.28,31.26,31.48,31.2182,8474300
2023-06-21,31.27,32.45,31.09,31.92,31.6545,8443200
2023-06-22,31.5,31.53,30.87,31.27,31.0099,6098000
2023-06-23,30.23,30.94,30.04,30.89,30.6331,14259300
2023-06-26,31.08,32.0,31.08,31.67,31.4066,6366100
2023-06-27,31.58,32.52,31.36,32.42,32.1503,8213000
2023-06-28,32.26,32.81,31.75,32.56,32.2892,6937100
2023-06-29,32.64,33.22,32.27,33.19,32.9139,7678400
2023-06-30,33.43,33.49,32.96,32.99,32.7156,7593900
2023-07-03,33.2,34.0,32.96,33.63,33.3503,3888000
2023-07-05,33.86,33.93,33.0,33.2,32.9238,6503500
2023-07-06,32.84,33.35,32.35,33.01,32.7354,5064100
2023-07-07,32.75,35.77,32.73,35.58,35.284,13865900
2023-07-10,35.33,36.16,35.23,36.0,35.7006,10005100
2023-07-11,36.22,37.75,36.2,37.52,37.2079,14232100
2023-07-12,37.88,38.31,37.64,37.92,37.6046,10014900
2023-07-13,38.0,38.57,37.48,37.75,37.436,11088500
2023-07-14,37.18,37.32,36.66,36.89,36.5832,10050800
2023-07-17,36.83,37.68,36.66,37.36,37.0492,7165300
2023-07-18,37.4,38.48,37.3,38.11,37.793,10090600
2023-07-19,37.12,38.1,36.7,37.01,36.7022,15315700
2023-07-20,37.01,37.1,35.56,36.45,36.1468,16801600
2023-07-21,36.28,37.09,36.22,36.94,36.6327,10797600
2023-07-24,37.21,38.42,37.19,38.26,37.9418,9980600
2023-07-25,38.44,38.8,37.92,38.42,38.1004,8579900
2023-07-26,38.12,38.54,37.86,38.21,37.8922,7207200
2023-07-27,38.44,38.66,37.76,37.93,37.6145,8023100
2023-07-28,38.0,38.19,37.72,38.16,37.8426,6448100
2023-07-31,38.57,39.23,38.42,39.08,38.7549,8726200
2023-08-01,38.8,39.29,38.27,39.27,38.9434,6478600
2023-08-02,38.86,39.32,38.36,39.03,38.7053,6003300
2023-08-03,39.03,39.99,38.96,39.69,39.3599,8055200
2023-08-04,39.91,40.1,39.38,39.55,39.221,8514700
2023-08-07,39.64,39.99,39.42,39.59,39.2607,5471600
2023-08-08,38.63,39.89,38.26,39.78,39.4491,6971800
2023-08-09,40.0,41.08,39.86,40.46,40.1235,9005800
2023-08-10,40.37,40.93,40.06,40.36,40.0243,6919500
2023-08-11,40.26,40.85,40.22,40.7,40.3615,6465300
2023-08-14,40.58,40.73,40.05,40.31,39.9747,5140100
2023-08-15,39.98,40.09,39.2,39.49,39.1615,5698200
2023-08-16,39.57,39.99,39.19,39.29,38.9632,7092200
2023-08-17,40.05,40.34,39.14,39.27,38.9434,4501500
2023-08-18,38.8,39.58,38.7,39.4,39.0723,6628900
2023-08-21,39.51,39.78,38.7,39.0,38.6756,6803600
2023-08-22,39.11,39.12,38.39,38.58,38.2591,7405700
2023-08-23,38.02,38.93,37.69,38.72,38.3979,6202600
2023-08-24,38.5,38.9,38.13,38.24,37.9219,4365000
2023-08-25,38.52,38.66,37.84,38.15,37.8327,5922600
2023-08-28,38.43,39.09,38.24,38.71,38.388,4747900
2023-08-29,38.84,38.92,38.41,38.75,38.4277,3945200
2023-08-30,39.0,39.35,38.79,38.91,38.5863,7221600
2023-08-31,39.05,39.09,38.51,38.62,38.2988,8361600
2023-09-01,39.38,39.89,39.08,39.81,39.4789,8617600
2023-09-05,39.96,40.89,39.88,40.7,40.5208,8428300
2023-09-06,40.49,40.99,40.4,40.88,40.7,5467800
2023-09-07,40.79,41.26,40.71,41.08,40.8991,7347200
2023-09-08,41.11,41.64,41.05,41.28,41.0982,9033800
2023-09-11,41.64,42.18,41.13,41.32,41.138,6512500
2023-09-12,41.81,42.74,41.7,42.36,42.1734,8072900
2023-09-13,42.49,42.66,41.73,41.9,41.7155,6227900
2023-09-14,42.44,42.53,42.12,42.21,42.0241,5731900
2023-09-15,42.0,42.52,41.71,42.11,41.9245,11070400
2023-09-18,42.47,42.82,42.16,42.64,42.4522,5135200
2023-09-19,43.0,43.15,41.07,41.43,41.2475,7511600
2023-09-20,41.19,42.14,41.18,41.29,41.1082,4928300
2023-09-21,41.42,41.5,40.52,40.76,40.5805,5243200
2023-09-22,41.01,41.33,40.61,40.63,40.4511,4673800
2023-09-25,40.55,41.04,40.4,40.98,40.7995,4243700
2023-09-26,40.52,41.24,40.46,40.79,40.6104,5599300
2023-09-27,41.43,42.37,41.13,42.03,41.8449,5787200
2023-09-28,41.87,42.42,41.62,41.79,41.606,5174100
2023-09-29,41.65,41.72,40.19,40.5,40.3216,8529300
2023-10-02,40.42,40.61,39.32,39.77,39.5948,6581200
2023-10-03,39.39,40.1,39.33,40.06,39.8836,7272700
2023-10-04,39.35,39.59,38.08,38.27,38.1015,8684600
2023-10-05,38.03,38.66,37.86,38.06,37.8924,5538000
2023-10-06,38.16,39.11,37.94,38.69,38.5196,5605800
2023-10-09,40.0,41.54,39.87,41.31,41.1281,9903000
2023-10-10,41.23,41.72,41.1,41.15,40.9688,6024000
2023-10-11,40.85,41.69,40.61,41.64,41.4566,6052100
2023-10-12,42.07,42.37,41.29,41.73,41.5462,5969200
