date,open,high,low,close,adjusted_close,volume
2023-01-03,140.04,141.45,132.42,134.52,132.8887,1557000
2023-01-04,131.15,136.92,130.59,136.57,134.9138,1342600
2023-01-05,136.18,141.56,136.14,140.78,139.0728,1659000
2023-01-06,143.55,145.41,142.0,143.7,141.9574,1559800
2023-01-09,146.68,147.35,143.58,144.22,142.4711,1818500
2023-01-10,144.61,145.6,142.16,143.62,141.8783,1359200
2023-01-11,145.2,145.97,142.64,145.25,143.4886,1293200
2023-01-12,147.11,153.39,146.73,150.73,148.9021,2535700
2023-01-13,150.85,153.2,149.51,152.21,150.3642,1776200
2023-01-17,151.73,152.91,150.08,151.65,149.811,1176700
2023-01-18,153.2,156.98,150.62,150.76,148.9317,1776900
2023-01-19,149.64,154.27,148.86,153.83,151.9645,1202300
2023-01-20,154.27,155.33,152.22,154.8,152.9228,1668500
2023-01-23,155.88,156.9,154.16,155.16,153.2784,1677500
2023-01-24,154.1,155.45,151.13,153.88,152.0139,1643700
2023-01-25,154.96,157.89,151.6,157.89,155.9753,2324200
2023-01-26,159.45,160.52,155.51,160.44,158.4944,1503000
2023-01-27,159.51,159.97,155.68,156.25,154.3552,1921400
2023-01-30,154.41,155.0,151.5,151.77,149.9295,1588500
2023-01-31,151.62,152.89,149.6,150.16,148.339,2708700
2023-02-01,149.24,149.57,140.58,144.24,142.4908,3311600
2023-02-02,143.46,143.62,137.23,138.78,137.097,3473200
2023-02-03,139.28,142.75,137.44,137.57,135.9017,1854100
2023-02-06,137.67,139.08,135.4,137.3,135.635,1846900
2023-02-07,138.37,143.78,136.66,143.27,141.5326,1646500
2023-02-08,142.5,143.8,140.73,142.73,140.9991,1393500
2023-02-09,142.41,143.02,139.94,140.64,138.9345,1024900
2023-02-10,143.28,146.84,143.28,146.59,144.8123,1495800
2023-02-13,145.0,147.74,144.04,147.02,145.2371,1474700
2023-02-14,145.33,148.2,144.6,147.99,146.1953,1073700
2023-02-15,145.15,146.8,142.65,146.01,144.2394,1882600
2023-02-16,145.68,146.73,143.62,143.76,142.0166,1300900
2023-02-17,140.47,140.97,135.04,135.52,133.8766,2633000
2023-02-21,133.82,136.08,133.08,135.87,134.2223,1940600
2023-02-22,135.65,137.13,133.53,134.63,132.9974,2029600
2023-02-23,137.77,138.42,133.59,135.8,134.1532,1332200
2023-02-24,134.13,139.1,133.69,138.95,137.265,1825600
2023-02-27,138.96,140.09,137.12,138.88,137.1958,1300900
2023-02-28,140.2,140.95,134.57,134.7,133.0665,1847800
2023-03-01,135.29,139.22,134.34,137.86,136.1882,1386300
2023-03-02,137.49,140.58,136.88,140.25,138.5492,1198900
2023-03-03,137.51,141.67,137.0,141.16,139.4482,1173000
2023-03-06,140.0,142.12,138.52,141.55,139.8334,1317000
2023-03-07,140.65,140.88,136.02,136.88,135.2201,2000700
2023-03-08,136.4,138.65,134.27,135.86,134.2124,1607000
2023-03-09,136.42,138.03,133.21,133.88,132.2565,1316200
2023-03-10,133.1,134.53,128.88,129.63,128.4778,1622600
2023-03-13,125.75,127.0,122.85,124.83,123.7205,2807800
2023-03-14,125.43,128.82,122.78,124.88,123.7701,2087100
2023-03-15,118.92,120.38,114.09,116.8,115.7619,2850700
2023-03-16,114.9,121.02,113.82,120.79,119.7164,3340900
2023-03-17,120.76,121.71,117.0,118.33,117.2783,5028800
2023-03-20,118.81,123.18,118.39,121.76,120.6778,2049800
2023-03-21,124.9,126.94,124.39,126.09,124.9693,1656900
2023-03-22,126.58,127.24,123.55,123.66,122.5609,1931800
2023-03-23,124.31,125.65,119.47,120.56,119.4885,1442400
2023-03-24,117.8,123.09,117.32,122.49,121.4013,2065200
2023-03-27,124.63,128.45,122.72,126.86,125.7325,2124700
2023-03-28,126.22,129.83,126.22,129.6,128.4481,1606600
2023-03-29,130.78,133.02,130.04,133.0,131.8179,1751100
2023-03-30,134.46,134.49,131.23,132.47,131.2926,1166200
2023-03-31,133.24,133.38,131.38,132.34,131.1638,1364100
2023-04-03,139.31,144.2,139.31,143.51,142.2345,3162800
2023-04-04,143.89,143.89,138.82,140.92,139.6675,1697700
2023-04-05,141.5,142.26,138.91,142.21,140.946,1348600
2023-04-06,141.01,141.95,140.0,140.88,139.6278,1463600
2023-04-10,142.51,144.99,141.55,142.33,141.065,1536600
2023-04-11,143.43,145.54,142.25,144.8,143.513,1427400
2023-04-12,144.99,147.63,144.4,146.17,144.8708,1683400
2023-04-13,145.92,148.57,145.17,147.25,145.9412,1270000
2023-04-14,148.45,150.19,147.31,148.93,147.6063,1551700
2023-04-17,148.69,148.94,145.12,145.65,144.3555,1159400
2023-04-18,145.11,146.06,144.35,145.8,144.5041,863000
2023-04-19,144.05,144.99,141.97,144.94,143.6518,1681000
2023-04-20,143.26,144.16,142.06,143.99,142.7102,1123000
2023-04-21,144.47,145.05,142.73,143.84,142.5615,1199900
2023-04-24,143.84,146.56,143.6,145.73,144.4347,1178500
