date,open,high,low,close,adjusted_close,volume
2023-01-03,18.0,18.18,17.86,18.01,16.6049,10454010
2023-01-04,17.86,18.38,17.85,18.23,16.8077,12069670
2023-01-05,18.12,18.24,18.02,18.21,16.7893,8489535
2023-01-06,18.37,18.69,18.29,18.58,17.1304,9086234
2023-01-09,18.76,18.8,18.6,18.71,17.2503,17355119
2023-01-10,18.75,18.82,18.505,18.74,17.2779,9544482
2023-01-11,18.88,18.9,18.58,18.78,17.3148,13289360
2023-01-12,18.88,19.06,18.77,18.89,17.4162,11067880
2023-01-13,18.88,18.93,18.69,18.85,17.3793,8616900
2023-01-17,18.93,19.095,18.7,18.82,17.3517,12372330
2023-01-18,18.87,18.92,18.29,18.36,16.9276,19528160
2023-01-19,18.51,18.93,18.395,18.75,17.2871,17379020
2023-01-20,18.81,18.85,18.6,18.64,17.1857,15423670
2023-01-23,18.74,18.85,18.61,18.76,17.2963,11451130
2023-01-24,18.75,18.9,18.38,18.57,17.1212,13090070
2023-01-25,18.45,18.52,18.32,18.45,17.0105,19135109
2023-01-26,18.57,18.62,18.35,18.61,17.1581,14299220
2023-01-27,18.6,18.77,18.525,18.66,17.2042,13120090
2023-01-30,18.25,18.34,18.03,18.04,16.8836,13284090
2023-01-31,18.07,18.31,17.955,18.3,17.1269,15757330
2023-02-01,18.25,18.51,18.19,18.37,17.1925,20314740
2023-02-02,18.37,18.5199,18.24,18.45,17.2673,13324650
2023-02-03,18.47,18.64,18.22,18.28,17.1082,13963560
2023-02-06,18.2,18.28,17.985,18.17,17.0053,11849980
2023-02-07,18.19,18.31,18.06,18.28,17.1082,10086360
2023-02-08,18.27,18.41,18.14,18.22,17.0521,11770340
2023-02-09,18.27,18.2958,17.96,17.99,16.8368,9447533
2023-02-10,18.13,18.37,18.06,18.36,17.1831,12983860
2023-02-13,18.31,18.51,18.285,18.39,17.2112,9579610
2023-02-14,18.3,18.49,18.2208,18.31,17.1363,9409160
2023-02-15,18.23,18.23,18.015,18.19,17.024,12342010
2023-02-16,18.03,18.23,17.92,18.09,16.9304,10909080
2023-02-17,17.94,17.97,17.685,17.73,16.5935,21545160
2023-02-21,17.63,17.7,17.33,17.35,16.2378,15301680
2023-02-22,17.31,17.53,17.26,17.32,16.2098,10744880
2023-02-23,17.52,17.5583,17.3301,17.48,16.3595,11145080
2023-02-24,17.32,17.46,17.27,17.44,16.3221,11470140
2023-02-27,17.54,17.59,17.29,17.36,16.2472,8310432
2023-02-28,17.43,17.43,17.06,17.06,15.9664,11657680
2023-03-01,17.22,17.4659,17.14,17.26,16.1536,10063320
2023-03-02,17.23,17.49,17.21,17.46,16.3408,8145887
2023-03-03,17.45,17.7,17.36,17.65,16.5186,8335519
2023-03-06,17.62,17.755,17.55,17.62,16.4905,10178890
2023-03-07,17.56,17.56,17.31,17.35,16.2378,14383130
2023-03-08,17.33,17.49,17.18,17.32,16.2098,9859559
2023-03-09,17.42,17.5,17.1,17.14,16.0413,9756754
2023-03-10,17.11,17.2199,16.74,16.77,15.695,15625060
2023-03-13,16.5,17.05,16.37,16.85,15.7699,20166961
2023-03-14,16.95,17.3,16.73,16.94,15.8541,14742140
2023-03-15,16.63,16.875,16.38,16.58,15.5172,24330430
2023-03-16,16.42,16.55,16.1805,16.55,15.4891,25119340
2023-03-17,16.45,16.5044,16.18,16.28,15.2364,27042039
2023-03-20,16.32,16.65,16.31,16.53,15.4704,12594740
2023-03-21,16.72,16.84,16.58,16.82,15.7418,12745370
2023-03-22,16.85,17.02,16.61,16.62,15.5546,12427640
2023-03-23,16.67,16.8,16.29,16.39,15.3394,12620140
2023-03-24,16.17,16.83,16.15,16.79,15.7137,15751080
2023-03-27,16.88,17.07,16.81,16.89,15.8073,12059680
2023-03-28,16.75,17.1,16.725,17.06,15.9664,7302801
2023-03-29,17.24,17.29,17.13,17.25,16.1442,7911408
2023-03-30,17.37,17.42,17.23,17.3,16.191,6667406
2023-03-31,17.37,17.54,17.285,17.51,16.3876,12085590
2023-04-03,17.77,17.835,17.55,17.66,16.528,15414140
2023-04-04,17.62,17.74,17.34,17.48,16.3595,9712814
2023-04-05,17.55,17.72,17.42,17.71,16.5748,11269710
2023-04-06,17.74,17.79,17.63,17.71,16.5748,7980571
2023-04-10,17.71,17.855,17.66,17.75,16.6122,9053266
2023-04-11,17.83,17.96,17.74,17.89,16.7432,9646875
2023-04-12,17.97,17.98,17.78,17.82,16.6777,10631560
2023-04-13,17.77,17.8,17.66,17.77,16.6309,11207970
2023-04-14,17.82,17.9,17.7,17.81,16.6684,8376020
2023-04-17,17.81,17.865,17.65,17.78,16.6403,10173850
2023-04-18,17.68,17.775,17.62,17.7,16.5654,11651510
2023-04-19,17.57,17.66,17.42,17.6,16.4718,13759460
2023-04-20,17.59,17.715,17.09,17.35,16.2378,15950870
2023-04-21,17.4,17.41,17.15,17.37,16.2566,10200830
2023-04-24,17.36,17.6799,17.34,17.62,16.4905,8681433
2023-04-25,17.52,17.6,17.4,17.41,16.294,9515460
2023-04-26,17.35,17.46,17.09,17.21,16.1068,12783760
2023-04-27,17.22,17.35,17.06,17.32,16.2098,14547390
2023-04-28,17.04,17.24,17.005,17.15,16.3168,14690740
2023-05-01,17.04,17.23,17.01,17.1,16.2692,14577970
2023-05-02,16.96,17.0,16.4432,16.68,15.8696,15626640
2023-05-03,16.52,16.82,16.51,16.56,15.7555,11851650
2023-05-04,16.52,16.735,16.39,16.64,15.8316,16214930
2023-05-05,16.95,17.13,16.885,17.04,16.2121,12838680
2023-05-08,17.11,17.18,16.83,16.9,16.0789,9769270
2023-05-09,16.78,16.9585,16.74,16.85,16.0314,7623884
2023-05-10,16.98,16.99,16.68,16.79,15.9743,10278400
2023-05-11,16.66,16.79,16.595,16.7,15.8887,11477090
2023-05-12,16.8,16.84,16.675,16.8,15.9838,9109771
2023-05-15,16.87,16.9,16.53,16.7,15.8887,23096801
2023-05-16,16.61,16.665,16.25,16.3,15.5081,15906220
2023-05-17,16.4,16.55,16.24,16.45,15.6508,13790130
2023-05-18,16.37,16.54,16.2601,16.52,15.7174,12066480
2023-05-19,16.63,16.675,16.45,16.52,15.7174,9834064
2023-05-22,16.48,16.66,16.42,16.53,15.7269,11296600
2023-05-23,16.55,16.68,16.4914,16.54,15.7364,12580750
2023-05-24,16.58,16.6,16.39,16.5,15.6984,10700970
2023-05-25,16.36,16.39,16.11,16.22,15.432,15836050
2023-05-26,16.24,16.325,16.15,16.21,15.4225,12815190
2023-05-30,16.1,16.22,16.035,16.15,15.3654,13975730
2023-05-31,16.1,16.155,16.0,16.11,15.3273,21102051
2023-06-01,16.14,16.35,16.08,16.26,15.47,13491660
2023-06-02,16.41,16.82,16.35,16.75,15.9362,18617660
2023-06-05,16.9,16.925,16.7,16.76,15.9457,12468961
2023-06-06,16.66,16.91,16.64,16.85,16.0314,10788790
2023-06-07,16.95,17.26,16.885,17.23,16.3929,12369870
2023-06-08,17.27,17.33,17.02,17.32,16.4785,9077305
2023-06-09,17.35,17.37,16.98,17.03,16.2026,9860076
2023-06-12,16.86,16.98,16.81,16.89,16.0694,14267290
2023-06-13,16.95,17.26,16.925,17.03,16.2026,12497890
2023-06-14,17.15,17.2,16.885,16.9,16.0789,14409390
2023-06-15,16.92,17.11,16.89,17.01,16.1836,11464200
2023-06-16,17.01,17.08,16.94,17.04,16.2121,24028180
2023-06-20,17.01,17.02,16.64,16.66,15.8506,14034400
2023-06-21,16.61,16.8,16.555,16.64,15.8316,12429370
2023-06-22,16.61,16.62,16.47,16.49,15.6889,10885460
2023-06-23,16.38,16.54,16.305,16.32,15.5271,14613830
2023-06-26,16.34,16.65,16.33,16.54,15.7364,18220500
2023-06-27,16.54,16.82,16.51,16.8,15.9838,16257700
2023-06-28,16.88,17.03,16.7,17.01,16.1836,16801000
2023-06-29,17.09,17.26,17.06,17.2,16.3644,13491290
2023-06-30,17.3,17.34,17.135,17.22,16.3834,11340270
2023-07-03,17.22,17.39,17.19,17.25,16.4119,8557570
2023-07-05,17.31,17.31,17.0,17.08,16.2502,12979690
2023-07-06,16.99,17.005,16.79,16.86,16.0409,9882237
2023-07-07,16.76,17.06,16.76,16.92,16.098,24357439
2023-07-10,16.79,17.045,16.79,16.95,16.1265,10596690
2023-07-11,16.97,17.3,16.97,17.25,16.4119,14480820
2023-07-12,17.41,17.59,17.3914,17.54,16.6878,15123010
2023-07-13,17.56,17.66,17.5299,17.6,16.7449,8721787
2023-07-14,17.48,17.515,17.17,17.21,16.3739,11250290
2023-07-17,17.25,17.25,17.115,17.13,16.2978,11887670
2023-07-18,17.08,17.4,17.07,17.28,16.4405,10053550
2023-07-19,17.28,17.41,17.24,17.29,16.45,12294070
2023-07-20,17.54,17.665,17.37,17.64,16.783,16299680
2023-07-21,17.73,17.905,17.605,17.8,16.9352,16858910
2023-07-24,17.86,18.3,17.84,18.11,17.2302,23654150
2023-07-25,18.07,18.19,17.995,18.06,17.1826,14098230
2023-07-26,18.0,18.11,17.89,17.95,17.0779,12260850
2023-07-27,18.04,18.06,17.76,17.8,16.9352,12299660
2023-07-28,17.53,17.645,17.42,17.57,16.986,9147314
2023-07-31,17.63,17.75,17.61,17.71,17.1213,11292250
2023-08-01,17.73,17.78,17.38,17.56,16.9763,11203180
2023-08-02,17.42,17.43,17.22,17.36,16.783,10626490
2023-08-03,17.44,17.63,17.34,17.46,16.8796,10594270
2023-08-04,17.51,17.71,17.35,17.36,16.783,11431280
2023-08-07,17.41,17.57,17.34,17.38,16.8023,7215271
2023-08-08,17.19,17.48,17.1,17.48,16.899,9324651
2023-08-09,17.56,17.73,17.53,17.55,16.9666,11368190
2023-08-10,17.61,17.72,17.435,17.54,16.957,12724780
2023-08-11,17.54,17.91,17.54,17.78,17.189,13074670
2023-08-14,17.81,17.855,17.58,17.67,17.0826,10775220
2023-08-15,17.63,17.685,17.3102,17.36,16.783,13509320
2023-08-16,17.34,17.42,17.19,17.21,16.6379,11428490
2023-08-17,17.33,17.56,17.33,17.34,16.7636,9514720
2023-08-18,17.22,17.45,17.21,17.43,16.8506,19621359
2023-08-21,17.49,17.49,17.241,17.36,16.783,9743934
2023-08-22,17.48,17.48,17.25,17.25,16.6766,9087138
2023-08-23,17.15,17.27,16.965,17.26,16.6863,9330286
2023-08-24,17.22,17.39,17.15,17.23,16.6573,8286334
2023-08-25,17.29,17.46,17.23,17.34,16.7636,9150224
2023-08-28,17.41,17.51,17.3,17.36,16.783,8576494
2023-08-29,17.36,17.46,17.34,17.45,16.87,8043543
2023-08-30,17.49,17.515,17.4,17.44,16.8603,6643520
2023-08-31,17.46,17.47,17.19,17.22,16.6476,14961400
2023-09-01,17.39,17.4,17.06,17.14,16.5703,14537790
2023-09-05,17.12,17.22,17.06,17.07,16.5026,11637550
2023-09-06,17.02,17.02,16.59,16.63,16.0772,17046801
2023-09-07,16.69,16.77,16.57,16.59,16.0385,18928580
2023-09-08,16.67,16.87,16.62,16.8,16.2416,14738720
2023-09-11,16.88,16.91,16.61,16.67,16.1159,11932610
2023-09-12,16.76,17.15,16.71,17.13,16.5606,12424270
2023-09-13,17.17,17.22,17.07,17.16,16.5896,10211220
2023-09-14,17.34,17.39,17.24,17.31,16.7346,12161750
2023-09-15,17.2,17.4,17.045,17.07,16.5026,28400449
2023-09-18,17.08,17.14,16.91,17.02,16.4543,13265020
2023-09-19,17.13,17.13,16.825,16.93,16.3672,13822580
2023-09-20,16.9,17.06,16.85,16.86,16.2996,8538286
2023-09-21,16.85,16.89,16.55,16.56,16.0095,12831960
2023-09-22,16.57,16.74,16.53,16.6,16.0482,11579650
2023-09-25,16.55,16.81,16.54,16.75,16.1932,11773290
2023-09-26,16.63,16.73,16.405,16.47,15.9225,12834880
2023-09-27,16.55,16.76,16.54,16.66,16.1062,12837510
2023-09-28,16.64,16.79,16.59,16.67,16.1159,9576395
2023-09-29,16.67,16.76,16.53,16.58,16.0289,14575280
2023-10-02,16.6,16.62,16.1,16.16,15.6228,16619160
2023-10-03,16.07,16.17,15.98,16.1,15.5648,16607939
2023-10-04,15.96,16.17,15.89,16.03,15.4972,17504311
2023-10-05,15.9,16.23,15.895,16.16,15.6228,17519961
2023-10-06,16.14,16.39,16.01,16.26,15.7195,13027220
2023-10-09,16.53,16.78,16.485,16.76,16.2029,18370510
2023-10-10,16.75,16.87,16.7,16.82,16.2609,11827370
2023-10-11,16.71,16.85,16.65,16.85,16.2899,11583410
2023-10-12,16.91,16.98,16.77,16.91,16.3479,13901970
2023-10-13,17.095,17.185,17.04,17.11,16.5413,14081380
