date,open,high,low,close,adjusted_close,volume
2023-01-03,26.68,26.99,25.32,25.64,25.2262,9714600
2023-01-04,25.02,25.83,24.78,25.32,24.9114,11334600
2023-01-05,25.32,26.18,25.26,25.87,25.4525,9843300
2023-01-06,26.31,26.81,26.24,26.6,26.1707,9373500
2023-01-09,27.35,27.53,26.91,27.03,26.5938,8406300
2023-01-10,27.11,27.25,26.54,27.01,26.5741,7882700
2023-01-11,27.39,27.45,26.65,27.05,26.6135,10004600
2023-01-12,27.2,27.74,27.07,27.38,26.9381,11655900
2023-01-13,27.16,27.35,26.72,27.08,26.643,7098400
2023-01-17,27.18,27.43,26.66,26.8,26.3675,8658500
2023-01-18,27.08,27.95,26.81,26.88,26.4462,11099000
2023-01-19,26.77,27.47,26.54,27.39,26.948,9500300
2023-01-20,27.48,27.95,27.18,27.88,27.4301,7665400
2023-01-23,28.1,28.35,27.86,28.1,27.6465,8744600
2023-01-24,29.85,29.85,27.25,27.85,27.4005,8649500
2023-01-25,27.79,27.91,27.25,27.86,27.4104,6115700
2023-01-26,28.26,28.77,27.76,28.76,28.2959,8211600
2023-01-27,28.7,29.27,28.29,28.31,27.8531,9297700
2023-01-30,27.89,28.08,27.05,27.09,26.6528,8300300
2023-01-31,27.0,27.68,26.81,27.47,27.0267,10242800
2023-02-01,27.33,27.86,26.24,26.78,26.3478,11936100
2023-02-02,26.75,26.76,25.8,26.19,25.7673,10782800
2023-02-03,26.23,26.86,25.99,26.03,25.6099,10744300
2023-02-06,26.06,26.34,25.4,25.79,25.3738,9701000
2023-02-07,26.05,26.93,25.64,26.87,26.4364,10743100
2023-02-08,26.9,27.22,26.33,26.6,26.1707,9762700
2023-02-09,26.6,26.73,26.08,26.13,25.7083,9859800
2023-02-10,26.66,27.82,26.65,27.75,27.3022,10718700
2023-02-13,27.46,27.72,27.21,27.33,26.8889,11076200
2023-02-14,26.9,27.38,26.63,27.16,26.8198,8891900
2023-02-15,26.62,26.69,25.43,26.07,25.7435,16524200
2023-02-16,26.08,27.45,26.0,26.78,26.4446,18392100
2023-02-17,26.16,26.23,25.51,25.86,25.5361,17629900
2023-02-21,25.85,25.99,25.31,25.42,25.1016,12520100
2023-02-22,25.32,25.67,24.87,25.11,24.7955,9454700
2023-02-23,25.6,25.82,24.99,25.48,25.1609,11341300
2023-02-24,25.09,25.66,24.94,25.59,25.2695,10079200
2023-02-27,25.58,26.02,25.33,25.83,25.5065,8610300
2023-02-28,26.08,26.15,25.13,25.15,24.835,11830300
2023-03-01,25.17,25.99,25.08,25.79,25.467,7395300
2023-03-02,25.66,26.25,25.58,26.1,25.7731,7210400
2023-03-03,25.64,26.65,25.53,26.53,26.1977,7614600
2023-03-06,26.27,26.45,26.06,26.24,25.9113,8554800
2023-03-07,26.05,26.13,25.59,25.66,25.3386,8339100
2023-03-08,25.55,25.99,25.08,25.39,25.072,8610200
2023-03-09,25.5,25.86,24.52,24.58,24.2721,10182300
2023-03-10,24.51,24.9,23.82,23.97,23.6698,9823300
2023-03-13,23.34,23.6,22.61,22.95,22.6625,13072500
2023-03-14,23.09,23.98,22.79,23.23,22.939,9863400
2023-03-15,22.2,22.28,20.66,21.26,20.9937,19173100
2023-03-16,20.72,22.03,20.57,22.01,21.7343,14929700
2023-03-17,21.76,21.98,21.02,21.2,20.9345,21504400
2023-03-20,21.16,22.01,21.16,21.74,21.4677,10734900
2023-03-21,22.4,23.12,22.3,22.96,22.6724,11723900
2023-03-22,23.01,23.17,22.25,22.28,22.0009,10094600
2023-03-23,22.5,22.83,21.74,22.0,21.7244,10491600
2023-03-24,21.53,22.2,21.41,22.16,21.8824,10326300
2023-03-27,22.52,23.03,22.16,22.9,22.6132,10929800
2023-03-28,22.81,23.55,22.75,23.27,22.9785,10729300
2023-03-29,23.63,23.82,23.48,23.64,23.3439,9173200
2023-03-30,23.96,24.04,23.56,23.71,23.413,7906200
2023-03-31,23.8,24.26,23.8,23.96,23.6599,9419800
2023-04-03,26.06,26.6,25.75,26.33,26.0002,21729800
2023-04-04,26.66,26.68,25.38,25.73,25.4077,18237800
2023-04-05,25.61,25.77,25.13,25.7,25.3781,11293200
2023-04-06,25.51,25.7,25.26,25.52,25.2004,7877000
2023-04-10,25.72,26.28,25.64,25.76,25.4373,10838100
2023-04-11,26.02,26.31,25.65,26.11,25.783,9544900
2023-04-12,26.13,26.18,25.53,25.62,25.2991,11760700
2023-04-13,25.59,25.91,25.51,25.66,25.3386,9410000
2023-04-14,25.81,25.94,25.52,25.73,25.4077,8195100
2023-04-17,25.71,25.75,24.74,24.8,24.4894,14266300
2023-04-18,24.67,24.85,24.29,24.74,24.4301,11927800
2023-04-19,24.29,24.75,24.13,24.66,24.3511,9981000
2023-04-20,24.21,24.37,23.94,24.27,23.966,8790900
2023-04-21,24.31,24.48,23.91,24.09,23.7883,7865000
2023-04-24,24.03,24.93,23.99,24.73,24.4203,9530800
2023-04-25,24.19,24.3,23.6,23.74,23.4427,10440500
2023-04-26,23.54,23.78,23.0,23.29,22.9983,10732500
2023-04-27,23.31,23.57,23.03,23.48,23.1859,9261900
2023-04-28,23.54,24.37,23.34,24.16,23.8574,9050300
