date,open,high,low,close,adjusted_close,volume
2023-01-03,65.64,65.92,63.26,63.94,59.5168,2847938
2023-01-04,63.34,64.93,63.24,64.44,59.9822,2833927
2023-01-05,64.05,65.2332,63.76,64.83,60.3452,2319159
2023-01-06,65.75,67.015,65.625,66.57,61.9648,1968752
2023-01-09,67.41,68.04,67.03,67.69,63.0074,2321532
2023-01-10,68.34,69.375,67.46,69.31,64.5153,2697210
2023-01-11,69.71,70.24,69.0909,70.09,65.2413,2565254
2023-01-12,70.43,71.39,69.94,70.93,66.0232,2537375
2023-01-13,70.71,70.935,70.2,70.83,65.9301,1598261
2023-01-17,71.0,71.5737,69.67,70.12,65.2693,2365150
2023-01-18,70.87,71.19,68.525,68.65,63.9009,1828828
2023-01-19,68.33,70.145,68.0,69.6,64.7852,3154379
2023-01-20,69.76,70.13,68.93,69.71,64.8876,2210692
2023-01-23,70.0,70.41,69.3101,69.73,64.9062,2127354
2023-01-24,67.59,69.72,67.59,69.51,64.7015,2973937
2023-01-25,68.9,69.11,67.77,69.04,64.264,2782464
2023-01-26,69.75,69.83,68.69,69.54,64.7294,2373925
2023-01-27,68.55,68.5967,67.5949,68.24,64.4038,2498866
2023-01-30,67.68,67.94,67.215,67.28,63.4977,2365964
2023-01-31,67.46,68.55,66.75,68.48,64.6303,2568343
2023-02-01,67.78,68.9,67.185,68.24,64.4038,2241589
2023-02-02,68.53,68.77,67.71,68.71,64.8474,2389993
2023-02-03,68.8,69.33,68.13,68.56,64.7058,1966706
2023-02-06,68.34,68.72,67.41,68.2,64.366,1953884
2023-02-07,68.43,69.31,67.855,69.09,65.206,1829989
2023-02-08,68.97,69.38,68.32,68.75,64.8851,1654687
2023-02-09,69.08,69.27,67.72,67.97,64.149,1858147
2023-02-10,68.62,69.58,68.32,69.45,65.5458,2879369
2023-02-13,69.4,70.15,69.12,69.9,65.9705,1583977
2023-02-14,69.78,70.68,69.2394,69.77,65.8478,1965301
2023-02-15,69.0,69.74,68.37,69.67,65.7534,1828292
2023-02-16,69.08,69.8,68.77,69.19,65.3004,1529601
2023-02-17,68.25,68.54,67.23,67.26,63.4789,3815670
2023-02-21,66.78,66.93,65.62,66.13,62.4124,2323050
2023-02-22,66.04,67.08,65.68,66.38,62.6483,2234001
2023-02-23,67.41,68.125,66.73,67.98,64.1584,1888187
2023-02-24,67.26,67.885,66.98,67.56,63.762,2364098
2023-02-27,67.78,68.33,67.47,67.94,64.1206,2255020
2023-02-28,68.13,68.43,65.22,65.45,61.7706,5990934
2023-03-01,65.68,66.34,65.33,66.16,62.4407,2606408
2023-03-02,66.12,66.715,65.5,66.67,62.922,2635755
2023-03-03,66.44,68.18,66.28,67.85,64.0357,2313018
2023-03-06,67.82,68.8,67.67,68.65,64.7907,2252317
2023-03-07,68.35,68.64,67.5,67.52,63.7243,2253859
2023-03-08,67.43,67.88,66.36,67.09,63.3184,1785265
2023-03-09,67.53,68.26,65.6,65.64,61.9499,1750214
2023-03-10,65.77,65.87,64.03,64.4,60.7796,2652627
2023-03-13,63.15,65.0,61.77,63.64,60.0624,3446516
2023-03-14,64.43,65.95,63.32,64.38,60.7608,3174201
2023-03-15,62.52,62.52,59.96,60.88,57.4575,4705161
2023-03-16,59.85,61.19,58.165,61.02,57.5897,4312763
2023-03-17,60.73,60.73,58.91,59.49,56.1457,8938535
2023-03-20,59.86,61.24,59.67,60.76,57.3443,2662994
2023-03-21,61.71,62.37,61.295,61.87,58.3919,3106829
2023-03-22,61.76,62.18,60.17,60.22,56.8346,2435919
2023-03-23,60.44,60.8364,58.185,58.64,55.3435,2835665
2023-03-24,57.54,59.565,57.14,59.48,56.1362,2202537
2023-03-27,60.37,61.11,59.85,60.66,57.2499,1954199
2023-03-28,60.22,61.25,60.11,60.98,57.5519,1632043
2023-03-29,61.79,62.135,61.56,62.01,58.524,2171126
2023-03-30,62.75,62.83,62.1632,62.53,59.0148,1461544
2023-03-31,62.85,63.59,62.56,63.54,59.968,2112671
2023-04-03,65.23,66.08,64.63,65.06,61.4025,3229709
2023-04-04,65.55,66.18,64.1,65.04,61.3837,3626603
2023-04-05,65.2,66.045,64.84,65.99,62.2803,2640567
2023-04-06,66.14,66.33,65.485,65.69,61.9971,2031524
2023-04-10,65.61,66.19,65.36,66.07,62.3558,1450428
2023-04-11,66.48,66.97,66.08,66.43,62.6955,1552962
2023-04-12,66.72,66.92,66.06,66.25,62.5256,1939987
2023-04-13,66.22,67.005,66.09,66.77,63.0164,1496530
2023-04-14,66.8,67.36,66.71,67.03,63.2618,1685649
2023-04-17,67.11,67.48,66.08,66.41,62.6767,1409157
2023-04-18,66.37,66.78,66.07,66.74,62.9881,1476658
2023-04-19,66.49,66.49,65.82,66.35,62.62,1242393
2023-04-20,65.45,66.07,65.05,66.05,62.3369,1636940
2023-04-21,66.48,66.4867,65.58,66.3,62.5728,1444061
2023-04-24,66.38,67.16,66.27,66.99,63.224,2112633
2023-04-25,66.49,66.52,65.515,65.55,61.865,1632364
2023-04-26,65.2,66.08,64.46,64.72,61.0817,1982785
2023-04-27,64.62,65.48,64.26,65.3,61.6291,1690050
2023-04-28,64.19,65.7704,64.09,65.41,62.6491,1955946
2023-05-01,64.98,65.92,64.87,65.39,62.6299,1740124
2023-05-02,65.0,65.125,61.94,62.74,60.0918,2662768
2023-05-03,62.1,64.185,61.6,62.82,60.1684,3589279
2023-05-04,62.85,63.2013,61.36,62.63,59.9864,2610448
2023-05-05,63.97,64.9,63.83,64.51,61.7871,1706008
2023-05-08,65.15,65.23,63.18,63.52,60.8389,1658371
2023-05-09,62.98,64.47,62.85,63.86,61.1645,2096030
2023-05-10,64.43,64.51,62.5,63.21,60.542,1979195
2023-05-11,62.47,63.57,62.47,62.83,60.178,2293033
2023-05-12,63.25,63.77,62.88,63.72,61.0304,2501497
2023-05-15,59.45,60.22,56.48,57.95,55.504,20718311
2023-05-16,57.55,57.92,56.0788,56.58,54.1918,9415999
2023-05-17,57.06,57.75,55.91,57.2,54.7856,5842535
2023-05-18,56.71,58.47,56.55,58.38,55.9158,4901300
2023-05-19,58.81,59.14,58.12,58.52,56.0499,3587696
2023-05-22,58.25,58.82,57.68,58.09,55.6381,2957265
2023-05-23,58.44,59.38,58.11,58.54,56.0691,3996937
2023-05-24,58.76,58.83,57.84,58.54,56.0691,2546789
2023-05-25,57.89,58.01,56.96,57.57,55.14,2978707
2023-05-26,57.87,57.95,57.05,57.3,54.8814,2790408
2023-05-30,56.88,57.755,56.76,57.37,54.9485,3025706
2023-05-31,56.61,56.99,56.19,56.66,54.2684,5094165
2023-06-01,56.8,57.48,56.21,56.91,54.5079,3433957
2023-06-02,58.0,58.915,57.25,58.74,56.2606,3452105
2023-06-05,59.33,59.4,58.5,58.72,56.2415,2018702
2023-06-06,58.03,59.425,57.995,59.31,56.8066,2512737
2023-06-07,59.82,60.495,59.38,60.43,57.8793,2695467
2023-06-08,60.45,60.74,59.52,60.71,58.1475,3159751
2023-06-09,60.52,60.66,59.64,59.84,57.3142,2816402
2023-06-12,59.39,60.31,59.31,59.8,57.2759,2914421
2023-06-13,60.34,61.08,60.24,60.28,57.7356,4780271
2023-06-14,60.65,61.06,60.015,60.43,57.8793,2526907
2023-06-15,60.54,61.4,60.41,61.11,58.5306,2992821
2023-06-16,61.2,61.46,60.68,60.95,58.3774,7633302
2023-06-20,60.56,60.57,59.06,59.32,56.8162,3237830
2023-06-21,58.95,59.38,58.56,59.08,56.5863,4272526
2023-06-22,58.97,59.0,57.9,58.19,55.7338,3053938
2023-06-23,57.54,58.065,57.37,57.69,55.255,3427813
2023-06-26,57.85,58.92,57.85,58.6,56.1265,2138177
2023-06-27,58.6,59.79,58.5075,59.5,56.9886,2918057
2023-06-28,59.67,60.56,59.06,60.52,57.9655,2623184
2023-06-29,60.75,61.55,60.66,61.49,58.8946,2428916
2023-06-30,62.46,62.46,61.54,61.72,59.1149,2603541
2023-07-03,61.83,62.655,61.77,62.4,59.7661,1166446
2023-07-05,62.24,62.61,61.2801,61.59,58.9903,2096747
2023-07-06,61.11,61.24,60.52,60.94,58.3678,2071024
2023-07-07,60.7,62.215,60.7,62.17,59.5459,3614588
2023-07-10,62.05,62.78,61.92,62.4,59.7661,2635699
2023-07-11,62.84,63.73,62.75,63.34,60.6665,3015682
2023-07-12,64.01,64.43,63.68,64.37,61.653,2462931
2023-07-13,64.73,65.36,64.5,65.32,62.5629,3182218
2023-07-14,64.76,64.83,63.5601,63.73,61.04,2661418
2023-07-17,63.77,64.06,63.29,63.41,60.7335,1943102
2023-07-18,63.21,64.795,63.175,64.32,61.6051,2506419
2023-07-19,64.32,65.205,64.31,64.77,62.0361,2310294
2023-07-20,65.2,65.98,64.91,65.93,63.1471,2264954
2023-07-21,66.3,66.69,65.68,66.49,63.6835,2014694
2023-07-24,66.76,67.85,66.68,67.25,64.4114,2417142
2023-07-25,67.31,67.78,66.83,67.54,64.6892,3010581
2023-07-26,67.13,68.12,67.13,67.6,64.7467,1836739
2023-07-27,67.77,68.1001,66.93,66.94,64.1145,2858868
2023-07-28,67.31,67.68,66.9,67.22,64.3827,2326669
2023-07-31,66.5,67.04,66.45,67.04,65.1357,5122414
2023-08-01,66.8,66.92,65.825,66.6,64.7082,2438584
2023-08-02,65.94,65.94,65.065,65.52,63.6589,2151371
2023-08-03,65.5,66.47,65.4,65.96,64.0864,1988307
2023-08-04,66.18,66.88,65.2,65.25,63.3965,2312903
2023-08-07,65.25,65.6,64.89,65.2,63.348,3257339
2023-08-08,64.59,64.765,63.05,64.15,62.3278,3240190
2023-08-09,64.5,65.2,63.93,64.35,62.5221,2867682
2023-08-10,64.86,65.55,64.65,65.15,63.2994,2226925
2023-08-11,65.3,66.36,65.22,66.24,64.3584,1856831
2023-08-14,66.48,66.93,65.27,65.95,64.0766,1913572
2023-08-15,65.51,65.76,65.12,65.43,63.5714,1942797
2023-08-16,65.25,65.87,65.02,65.24,63.3868,2605358
2023-08-17,65.67,66.03,64.96,65.34,63.484,3269550
2023-08-18,64.78,65.85,64.77,65.6,63.7366,2182416
2023-08-21,65.73,65.93,64.885,65.26,63.4062,1782578
2023-08-22,65.4,65.64,64.83,64.86,63.0176,1509819
2023-08-23,64.39,64.91,63.64,64.7,62.8622,1577555
2023-08-24,64.37,65.36,64.37,64.38,62.5512,1941660
2023-08-25,64.82,65.49,64.68,64.95,63.1051,2239364
