date,open,high,low,close,adjusted_close,volume
2023-01-03,62.3,62.9497,60.11,61.05,60.3312,13104050
2023-01-04,59.94,61.84,59.7,61.11,60.3905,12238010
2023-01-05,61.12,62.73,60.75,62.22,61.4874,10692850
2023-01-06,63.41,64.63,62.94,63.75,62.9994,9832734
2023-01-09,64.87,66.585,63.98,64.08,63.3255,12519800
2023-01-10,64.26,64.59,63.12,64.15,63.3947,6613497
2023-01-11,65.0,65.0,63.63,64.09,63.3354,7613870
2023-01-12,64.5,66.4777,64.25,65.74,64.966,12351900
2023-01-13,65.75,66.13,64.67,65.31,64.541,7200106
2023-01-17,65.42,65.99,64.555,64.72,63.958,7503266
2023-01-18,65.2,67.05,64.28,64.42,63.6615,13922530
2023-01-19,64.04,66.015,63.78,65.67,64.8968,10038390
2023-01-20,66.12,67.11,65.425,66.91,66.1222,12439930
2023-01-23,67.31,67.71,66.3301,66.5,65.717,9891476
2023-01-24,64.359,67.46,64.248,64.43,63.6714,8519089
2023-01-25,63.86,64.54,62.31,64.52,63.7603,10053330
2023-01-26,65.38,67.125,64.755,67.09,66.3001,12564350
2023-01-27,67.15,67.93,66.51,66.54,65.7566,8760981
2023-01-30,65.82,65.96,64.07,64.13,63.3749,9515124
2023-01-31,64.2,64.79,63.6299,64.79,64.0272,10315330
2023-02-01,64.26,64.5103,62.29,63.5,62.7523,12694990
2023-02-02,63.22,63.3899,61.53,62.47,61.7345,13098460
2023-02-03,62.69,64.0201,61.01,61.24,60.519,17851490
2023-02-06,61.5,61.85,60.21,61.55,60.8253,11803110
2023-02-07,62.0,64.69,61.8,64.6,63.8394,12969310
2023-02-08,64.5,65.01,63.7105,63.93,63.1773,7668332
2023-02-09,63.99,64.35,63.01,63.2,62.4559,6738819
2023-02-10,64.15,65.77,64.02,65.63,64.8573,13530660
2023-02-13,65.01,65.46,64.31,64.76,63.9975,7835073
2023-02-14,65.05,66.99,64.45,66.34,65.5589,12410310
2023-02-15,65.35,65.395,62.68,62.9,62.1594,17806881
2023-02-16,62.51,63.855,62.4125,62.5,61.7641,12173930
2023-02-17,61.3,61.62,60.05,60.73,60.015,20380359
2023-02-21,60.54,61.28,59.65,59.82,59.1157,11314560
2023-02-22,59.24,59.885,57.96,58.42,57.7322,17198711
2023-02-23,59.55,59.87,58.55,59.22,58.5227,12734630
2023-02-24,58.75,59.27,58.01,58.98,58.2856,13116320
2023-02-27,59.27,59.6499,58.37,58.96,58.2658,17984641
2023-02-28,59.73,60.56,58.5,58.56,57.8705,34364434
2023-03-01,58.51,60.0882,58.4,59.71,59.007,14414250
2023-03-02,59.4,60.54,59.25,60.27,59.5604,13870730
2023-03-03,59.48,61.7,59.3115,61.25,60.5288,17088920
2023-03-06,61.06,61.97,60.85,61.68,60.9538,12890790
2023-03-07,61.315,61.65,60.5,60.85,60.1335,12547300
2023-03-08,62.0,63.575,61.05,62.15,61.4182,22946980
2023-03-09,62.19,63.2,60.3716,60.56,60.0208,13331020
2023-03-10,60.33,61.07,59.43,59.86,59.327,14715760
2023-03-13,58.36,60.145,57.28,59.15,58.6234,19574480
2023-03-14,59.45,61.6297,59.005,60.19,59.6541,16825689
2023-03-15,58.15,58.35,55.51,56.8,56.2943,30722100
2023-03-16,56.6,59.075,55.92,59.04,58.5143,22759010
2023-03-17,58.98,59.5099,57.91,58.48,57.9593,21005650
2023-03-20,58.51,59.53,58.23,58.98,58.4549,14579660
2023-03-21,59.93,60.75,59.5,60.24,59.7036,16959119
2023-03-22,60.29,60.4228,58.61,58.68,58.1575,13936200
2023-03-23,59.05,59.56,57.685,58.48,57.9593,15059300
2023-03-24,57.875,58.6,57.0288,58.18,57.662,13613230
2023-03-27,58.7,59.86,58.03,59.65,59.1189,14419720
2023-03-28,60.65,62.35,60.56,62.21,61.6561,21795480
2023-03-29,62.69,62.94,61.7,62.09,61.5372,13107140
2023-03-30,62.74,62.83,61.71,62.32,61.7651,8311737
2023-03-31,62.39,62.98,62.16,62.43,61.8741,9618819
2023-04-03,65.74,66.4699,64.69,65.18,64.5997,24486510
2023-04-04,65.83,65.88,63.9093,64.83,64.2528,16176390
2023-04-05,64.37,65.18,63.585,64.57,63.9951,12056140
2023-04-06,64.05,64.139,62.97,63.04,62.4787,10480900
2023-04-10,63.2,64.465,63.17,64.09,63.5194,11531360
2023-04-11,64.39,64.89,63.91,64.37,63.7969,8979018
2023-04-12,64.8,65.21,64.25,64.84,64.2627,9185428
2023-04-13,64.75,65.18,64.5178,64.77,64.1933,7697011
2023-04-14,64.74,64.9902,64.04,64.48,63.9059,6763377
2023-04-17,64.38,64.41,62.85,62.94,62.3796,8514691
2023-04-18,62.78,63.1624,62.25,63.0,62.4391,7936570
2023-04-19,62.0,62.595,61.385,62.47,61.9138,7742200
2023-04-20,61.55,62.265,61.5,62.03,61.4777,7769038
2023-04-21,62.15,62.43,61.4401,61.87,61.3191,7825206
2023-04-24,61.87,63.07,61.77,62.76,62.2012,7560166
2023-04-25,61.87,62.02,60.62,61.33,60.7839,9709715
2023-04-26,61.32,61.34,59.92,60.26,59.7235,8470870
2023-04-27,60.3,60.82,59.97,60.58,60.0406,8172103
2023-04-28,60.7,62.17,60.35,61.53,60.9822,9727709
2023-05-01,60.98,61.875,60.76,61.17,60.6254,7337710
2023-05-02,60.55,60.55,59.08,60.04,59.5054,12442900
2023-05-03,59.25,60.1,58.935,58.97,58.445,11639230
2023-05-04,59.04,59.84,58.275,58.7,58.1774,11201970
2023-05-05,60.12,61.08,59.75,60.69,60.1496,11276000
2023-05-08,60.62,61.15,58.93,58.96,58.435,17632070
2023-05-09,58.65,59.65,58.58,58.96,58.435,13373170
2023-05-10,58.27,58.89,56.47,56.85,56.3438,21378570
2023-05-11,56.4,58.0,56.31,57.93,57.4142,14178080
2023-05-12,58.08,58.3901,57.74,58.09,57.5728,9463707
2023-05-15,58.4,58.88,58.16,58.52,57.999,9155550
2023-05-16,58.77,58.87,58.01,58.14,57.6223,10515960
2023-05-17,58.7,59.165,58.175,58.92,58.3954,9549054
2023-05-18,58.82,58.8523,57.7729,58.25,57.7314,11296750
2023-05-19,59.06,60.23,58.97,59.13,58.6035,16016630
2023-05-22,59.1,59.53,58.71,59.04,58.5143,9445236
2023-05-23,59.65,60.3108,59.25,59.68,59.1486,9639209
2023-05-24,60.17,60.35,59.1215,59.39,58.8612,10665830
2023-05-25,58.61,59.095,58.27,58.81,58.2864,10362940
2023-05-26,59.12,59.23,58.56,58.94,58.4152,9946041
2023-05-30,58.11,58.8,57.9,58.59,58.0683,12529440
2023-05-31,58.35,58.51,57.52,57.66,57.1466,15280290
2023-06-01,57.69,59.045,57.525,58.12,57.6025,10189830
2023-06-02,59.02,59.99,58.71,59.69,59.1585,14473190
2023-06-05,60.79,60.92,59.39,59.4,58.8711,10529637
2023-06-06,58.67,59.585,58.49,59.44,58.9108,8616502
2023-06-07,59.73,60.7,59.69,60.04,59.5054,9055604
2023-06-08,59.84,60.139,58.52,59.71,59.3563,11015400
2023-06-09,59.74,60.0694,59.0995,59.32,58.9686,7404291
2023-06-12,58.66,59.41,58.58,59.19,58.8394,8323054
2023-06-13,59.59,60.11,58.76,58.77,58.4219,11501270
