date,open,high,low,close,adjusted_close,volume
2023-01-03,103.4,104.47,100.54,101.03,97.12,2877150
2023-01-04,99.55,102.0,99.38,100.68,96.7836,2959185
2023-01-05,100.2,103.07,100.2,103.02,99.033,3348430
2023-01-06,104.22,106.33,103.82,105.7,101.6093,3101312
2023-01-09,106.7,106.97,101.56,102.01,98.0621,4707383
2023-01-10,102.44,103.45,100.57,101.57,97.6391,3259164
2023-01-11,102.47,102.73,100.5269,101.42,97.4949,3551134
2023-01-12,101.94,103.77,101.72,102.86,98.8792,2231790
2023-01-13,102.86,103.38,101.52,103.03,99.0426,2133215
2023-01-17,103.55,105.01,102.36,102.51,98.5427,2600814
2023-01-18,103.22,105.51,102.3,102.71,98.735,2908164
2023-01-19,102.68,104.82,101.83,104.38,100.3404,2696925
2023-01-20,104.8,107.235,103.83,106.96,102.8205,2986434
2023-01-23,107.5,108.68,106.6,106.94,102.8013,3070063
2023-01-24,106.94,107.26,104.36,107.01,102.8686,2360475
2023-01-25,106.36,108.86,105.54,108.85,104.6374,2889143
2023-01-26,109.55,111.67,108.28,111.49,107.1752,2723551
2023-01-27,111.44,111.84,108.7,108.73,104.522,2506688
2023-01-30,108.37,108.9253,105.89,106.42,102.3014,3109975
2023-01-31,104.7,104.7,99.13,100.27,96.3894,7890068
2023-02-01,99.8,101.59,97.03,97.99,94.1977,4467782
2023-02-02,98.0,99.0,96.34,98.98,95.1494,4668651
2023-02-03,99.28,100.6091,98.51,98.81,94.9859,3525128
2023-02-06,98.58,99.5,96.15,98.08,94.2842,2666327
2023-02-07,98.86,102.38,98.49,102.28,98.3216,3628394
2023-02-08,101.76,103.65,101.24,102.74,98.7638,3683762
2023-02-09,103.16,104.28,101.92,102.11,98.1582,2897444
2023-02-10,103.73,107.525,103.4757,107.38,103.2243,3003312
2023-02-13,107.0,108.31,105.75,108.26,104.0702,2608803
2023-02-14,107.5,108.84,107.1,107.95,103.7722,2267541
2023-02-15,107.0,107.66,105.25,106.65,102.5225,2627471
2023-02-16,106.47,107.3,104.82,104.92,100.8595,2876507
2023-02-17,102.02,102.57,99.18,99.54,96.655,3537586
2023-02-21,98.93,100.69,98.49,99.65,96.7618,2569243
2023-02-22,99.32,100.809,98.525,99.47,96.587,2087817
2023-02-23,101.05,101.5,99.12,100.35,97.4415,2737977
2023-02-24,99.1,102.01,98.1,102.0,99.0437,3005771
2023-02-27,102.43,104.33,102.01,103.65,100.6458,2699527
2023-02-28,104.63,104.88,101.87,102.56,99.5874,4104526
