date,open,high,low,close,adjusted_close,volume
2023-01-03,225.37,228.87,217.25,220.25,206.4872,2752416
2023-01-04,216.88,225.14,216.53,223.05,209.1122,1813277
2023-01-05,222.68,228.21,222.4,227.13,212.9373,1214093
2023-01-06,231.0,235.33,230.47,233.46,218.8717,1817165
2023-01-09,236.5,237.15,228.4075,230.16,215.7779,1783220
2023-01-10,231.96,232.446,228.6118,231.16,216.7154,1302486
2023-01-11,234.58,234.59,228.4,231.6,217.128,1181615
2023-01-12,233.04,240.26,233.04,239.18,224.2343,1600329
2023-01-13,239.28,240.0,234.95,238.99,224.0562,1146523
2023-01-17,240.0,243.73,237.53,237.9,223.0343,1436728
2023-01-18,242.03,243.11,233.65,233.97,219.3499,1629771
2023-01-19,232.0,239.18,229.71,238.38,223.4843,1653295
2023-01-20,239.42,239.92,236.15,239.4,224.4406,1609375
2023-01-23,241.89,243.3649,240.25,241.45,226.3625,1189254
2023-01-24,240.51,242.85,236.66,237.74,222.8843,1327792
2023-01-25,235.53,236.34,228.41,236.22,221.4593,1761863
2023-01-26,239.46,239.8,232.85,237.0,222.1905,2292661
2023-01-27,237.36,239.22,233.95,234.39,219.7436,1781871
2023-01-30,231.15,232.71,229.12,229.83,215.4686,1805300
2023-01-31,229.74,232.07,228.26,230.35,215.9561,1360120
2023-02-01,228.35,229.68,220.6792,223.96,209.9654,2340901
2023-02-02,222.82,224.695,218.25,220.0,206.2528,2907957
2023-02-03,220.0,224.53,219.83,220.0,206.2528,2477734
2023-02-06,220.5,221.7,216.591,218.4,204.7528,2252885
2023-02-07,220.01,226.2,217.4,226.07,211.9435,2068091
2023-02-08,226.58,229.55,223.43,223.88,209.8904,2004350
2023-02-09,225.05,225.37,220.8,221.32,207.4903,1604457
2023-02-10,225.06,231.88,224.5,231.39,216.9311,2491759
2023-02-13,230.24,233.5769,228.6101,232.45,217.9248,1338323
2023-02-14,229.87,234.5,229.19,233.72,219.1155,1304092
2023-02-15,231.74,232.0,220.58,220.9,207.0966,4014913
2023-02-16,220.11,222.085,216.22,216.37,202.8496,3098695
2023-02-17,214.01,214.88,206.45,208.96,195.9027,5589192
2023-02-21,208.97,209.25,204.73,205.94,193.0714,2883418
2023-02-22,206.0,207.41,202.85,205.27,192.4432,2471153
2023-02-23,210.0,211.25,201.31,205.06,192.2464,4671621
2023-02-24,202.47,203.61,190.99,196.57,184.2869,7916088
2023-02-27,203.0,203.59,198.74,201.97,189.3494,5134746
2023-02-28,203.42,204.0,200.17,200.41,187.8869,3484767
2023-03-01,201.01,205.69,200.41,205.43,192.5932,3583714
2023-03-02,205.16,210.68,205.0,209.8,196.6902,3372748
2023-03-03,201.27,210.76,200.77,209.83,202.0933,3235560
2023-03-06,208.0,210.0,206.58,209.59,201.8622,2233389
2023-03-07,208.0,208.7414,205.45,206.33,198.7224,1851895
2023-03-08,205.13,209.0,202.41,204.32,196.7865,2623488
2023-03-09,205.31,207.3043,201.56,202.02,194.5713,2886514
2023-03-10,201.5,204.19,198.22,198.78,191.4508,2544142
2023-03-13,194.37,199.12,190.27,195.36,188.1569,5459135
2023-03-14,196.0,199.58,191.8299,195.24,188.0413,3240702
2023-03-15,189.92,191.3,180.38,181.85,175.145,5168537
2023-03-16,178.26,186.95,177.265,186.49,179.6139,3759110
2023-03-17,186.49,188.11,181.01,182.05,175.3376,5468776
2023-03-20,182.15,187.99,181.51,186.89,179.9992,2855126
2023-03-21,191.0,195.71,190.51,195.34,188.1376,3120925
2023-03-22,195.5,196.46,189.7,189.81,182.8115,1547784
2023-03-23,192.5,194.13,187.015,189.18,182.2047,2019542
2023-03-24,187.0,193.11,186.01,192.22,185.1326,2186560
2023-03-27,193.06,196.03,190.5572,194.42,187.2515,2042402
2023-03-28,193.4,197.97,193.4,197.77,190.478,1600412
2023-03-29,200.0,202.54,198.145,202.28,194.8217,2379128
2023-03-30,204.0,204.24,200.54,202.06,194.6098,2085094
2023-03-31,202.89,204.72,202.1447,204.24,196.7094,1889098
2023-04-03,213.38,217.09,211.1882,213.37,205.5028,3804386
2023-04-04,214.42,214.73,209.36,210.76,202.989,2259289
2023-04-05,211.5,212.43,207.72,210.4,202.6423,2263376
2023-04-06,209.33,209.9,207.67,208.16,200.4849,1694770
2023-04-10,224.03,225.76,218.56,220.22,212.1002,7283272
2023-04-11,220.69,221.5582,217.8,220.39,212.264,3357201
2023-04-12,221.66,227.16,221.5,225.1,216.8003,3059712
2023-04-13,225.01,229.9,224.78,227.92,219.5163,2513991
2023-04-14,229.94,231.82,228.8,230.0,221.5196,1824309
2023-04-17,230.4,232.12,227.76,228.22,219.8053,1754877
2023-04-18,227.63,228.79,225.87,228.48,220.0557,1621228
2023-04-19,226.5,227.57,223.85,227.31,218.9288,1574594
2023-04-20,223.57,225.45,222.8,225.3,216.9929,1836734
2023-04-21,225.6,225.78,222.42,224.78,216.4921,1497479
2023-04-24,224.59,228.47,223.69,227.24,218.8614,1265432
2023-04-25,224.98,225.5899,221.46,222.44,214.2384,1422697
2023-04-26,221.73,223.68,220.29,222.48,214.2769,1851232
2023-04-27,218.01,219.31,210.65,212.81,204.9635,5554520
2023-04-28,214.0,220.27,213.26,217.55,209.5287,2579584
2023-05-01,215.2,219.56,215.0,216.99,208.9893,1667638
2023-05-02,215.0,215.0,205.84,209.51,201.7851,3118068
2023-05-03,206.37,211.56,206.05,207.79,200.1285,2076924
2023-05-04,208.16,209.55,205.6707,206.06,198.4623,1840868
2023-05-05,212.03,215.1,211.7199,212.22,204.3952,1862264
2023-05-08,215.67,216.1553,211.81,212.35,204.5204,1571917
2023-05-09,210.17,214.13,210.111,211.24,203.4513,1155350
2023-05-10,211.5,212.4204,207.85,209.11,201.3999,1468028
2023-05-11,206.01,207.96,205.5,207.2,199.5603,1442947
2023-05-12,208.42,209.0,203.52,204.78,197.2295,1626739
2023-05-15,205.95,208.1,204.61,206.78,199.1558,1535487
2023-05-16,205.75,206.4004,201.1,201.18,193.7623,1517670
2023-05-17,203.4,205.09,201.56,203.96,196.4398,1635897
2023-05-18,202.25,204.455,200.69,203.97,196.4494,1766634
2023-05-19,205.49,210.45,204.96,208.94,201.2361,2057832
2023-05-22,209.21,213.13,207.96,211.04,203.2587,1884185
2023-05-23,212.77,216.755,212.55,214.02,206.1288,2274256
2023-05-24,215.21,216.0,211.1475,212.33,204.5011,1649131
2023-05-25,209.06,209.4811,206.0,207.6,199.9455,1806941
2023-05-26,208.93,209.37,205.5,207.93,200.2634,1438347
2023-05-30,205.71,207.89,203.11,206.3,198.6935,2129071
2023-05-31,199.66,202.24,198.71,199.44,195.2475,2992181
2023-06-01,199.21,203.12,198.0,200.8,196.5789,1607777
2023-06-02,204.12,207.32,203.0,205.67,201.3465,1978646
2023-06-05,209.0,209.1099,202.81,202.85,198.5858,1665240
2023-06-06,199.9,203.63,199.28,203.45,199.1732,1708348
2023-06-07,205.0,209.32,204.32,206.81,202.4625,2276405
2023-06-08,207.0,208.4502,203.385,207.03,202.6779,1444034
2023-06-09,206.13,207.0099,203.76,204.8,200.4948,1740993
2023-06-12,201.3,204.07,200.13,201.65,197.411,2189046
2023-06-13,203.16,207.85,201.83,201.92,197.6753,2248699
2023-06-14,203.95,205.4155,199.76,201.28,197.0488,2329980
2023-06-15,201.46,205.32,201.3,203.29,199.0165,2087978
2023-06-16,205.15,207.85,204.04,206.8,202.4528,4241026
2023-06-20,205.51,206.055,199.6,201.84,197.597,2333880
2023-06-21,202.16,205.07,201.0801,203.27,198.997,1471540
2023-06-22,201.5,202.0799,199.48,200.19,195.9817,1827215
2023-06-23,198.0,199.35,196.745,198.66,194.4839,2910169
2023-06-26,199.35,202.96,199.01,201.38,197.1467,1331532
2023-06-27,200.81,201.55,199.23,199.74,195.5412,1260789
2023-06-28,200.15,204.62,198.83,203.44,199.1634,1748276
2023-06-29,204.02,206.666,203.26,206.07,201.7381,1177409
2023-06-30,207.5,207.98,205.73,207.18,202.8248,1274101
2023-07-03,207.53,208.59,206.1968,207.74,203.373,881206
2023-07-05,208.36,208.618,205.6872,207.53,203.1674,1243196
2023-07-06,205.4,207.6608,201.4,202.99,198.7229,1796303
2023-07-07,201.67,209.47,201.0985,206.4,202.0612,2368420
2023-07-10,205.4,207.085,205.11,206.4,202.0612,1740903
2023-07-11,207.83,214.7,207.3,213.42,208.9336,1980406
2023-07-12,214.82,216.6431,214.6,215.92,211.381,1946603
2023-07-13,216.0,217.64,213.61,215.2,210.6762,1612585
2023-07-14,213.61,213.78,208.13,208.92,204.5282,1590902
2023-07-17,207.76,209.11,206.88,207.0,202.6486,1358802
2023-07-18,207.7,212.9801,207.2,211.13,206.6917,1685399
2023-07-19,210.72,213.73,209.92,210.11,205.6932,1265233
2023-07-20,211.9,214.0,211.445,213.14,208.6595,1367207
2023-07-21,213.89,216.29,212.61,215.85,211.3125,1893054
2023-07-24,216.5,219.88,216.22,218.03,213.4467,1934459
2023-07-25,217.51,220.71,216.35,219.53,214.9152,1427814
2023-07-26,217.47,221.38,217.04,220.55,215.9137,1182244
2023-07-27,222.05,223.9599,219.51,220.65,216.0116,1636360
2023-07-28,221.75,223.55,218.33,223.4,218.7038,1160321
2023-07-31,225.3,226.74,224.88,225.67,220.9261,1712507
2023-08-01,223.96,225.14,221.5,224.68,219.9569,2001637
2023-08-02,228.0,236.0,224.0101,227.94,223.1484,4790266
2023-08-03,229.43,234.78,227.81,229.98,225.1455,2529304
2023-08-04,231.79,236.0,231.65,234.06,229.1397,2015533
2023-08-07,235.31,235.83,231.56,232.32,227.4363,1326557
2023-08-08,229.66,233.41,226.86,233.39,228.4838,1303935
2023-08-09,234.24,238.905,233.89,236.59,231.6165,1563970
2023-08-10,236.56,238.54,234.12,235.91,230.9508,1478816
2023-08-11,235.78,238.39,235.5,236.76,231.783,1576756
2023-08-14,236.87,237.65,234.96,237.0,232.0179,1291768
2023-08-15,235.3,235.8899,232.2,233.72,228.8069,1242312
2023-08-16,237.0,237.08,233.92,234.15,229.2278,1480794
2023-08-17,237.65,239.91,235.895,236.6,231.6263,1563281
2023-08-18,235.55,238.04,235.0,237.86,232.8598,1273109
2023-08-21,239.14,239.93,235.13,237.29,232.3018,1455236
2023-08-22,237.44,237.99,234.745,235.11,230.1676,1206744
2023-08-23,233.43,234.21,230.501,234.07,229.1495,1412114
2023-08-24,232.19,235.28,231.97,232.78,227.8866,1098144
2023-08-25,234.1,235.61,231.73,233.78,228.8656,1306454
2023-08-28,234.94,237.9,234.88,236.42,231.4501,795490
2023-08-29,236.08,238.09,235.0,237.76,232.7619,1361801
2023-08-30,238.1,238.72,237.54,238.07,233.0654,1499416
2023-08-31,238.0,238.416,236.06,237.93,232.9284,1466284
2023-09-01,239.55,242.41,239.18,241.66,236.58,3935872
2023-09-05,241.14,245.2,241.05,243.03,239.7362,1849390
2023-09-06,242.1,245.23,240.11,241.37,238.0987,1222930
2023-09-07,241.81,242.155,238.34,238.95,235.7115,1851999
2023-09-08,240.45,240.92,238.33,238.82,235.5833,1227958
2023-09-11,240.43,240.855,232.03,233.64,230.4735,2012263
2023-09-12,235.76,238.52,235.625,236.19,232.9889,1802194
2023-09-13,236.54,237.765,234.15,235.83,232.6338,2061555
2023-09-14,238.87,239.12,236.99,237.35,234.1332,1862790
2023-09-15,235.67,238.34,233.805,234.0,230.8286,2370476
2023-09-18,236.22,236.46,233.45,235.28,232.0912,1538847
2023-09-19,236.98,237.75,232.275,233.93,230.7595,1698824
2023-09-20,232.65,234.65,228.47,228.77,225.6695,1630577
2023-09-21,229.57,229.57,222.22,222.97,219.9481,2357758
2023-09-22,225.0,225.635,222.545,223.07,220.0467,1692124
2023-09-25,223.1,225.8,223.1,225.54,222.4833,1467543
2023-09-26,223.34,227.97,223.34,227.87,224.7817,1876614
2023-09-27,231.0,236.27,230.92,234.09,230.9174,2322220
2023-09-28,233.15,235.85,232.1677,234.19,231.016,1599414
2023-09-29,234.33,234.33,229.15,229.55,226.4389,1744801
2023-10-02,229.4,229.55,222.6,224.46,221.4179,2014007
2023-10-03,223.82,224.99,220.9,223.64,220.609,2067615
2023-10-04,220.38,220.52,213.03,215.32,212.4018,2637226
2023-10-05,213.34,216.4852,211.9515,214.96,212.0466,1830605
2023-10-06,236.0,239.4783,230.69,237.43,234.2121,11221640
2023-10-09,241.0,241.75,235.12,235.62,232.4266,5311834
2023-10-10,235.3,239.865,234.72,237.41,234.1924,2539057
2023-10-11,241.18,241.21,237.45,240.82,237.5562,20458600
2023-10-12,242.75,244.24,239.97,240.36,237.1024,9106605
2023-10-13,244.0,249.45,243.6,248.29,244.9249,6459412
2023-10-16,249.13,249.93,246.57,248.76,245.3886,3603662
2023-10-17,247.83,253.02,247.41,251.84,248.4268,4529429
2023-10-18,253.0,256.5549,253.0,255.23,251.7709,4298944
2023-10-19,252.97,257.76,251.75,255.33,251.8695,3386429
2023-10-20,255.13,256.36,250.611,250.93,247.5291,3325374
2023-10-23,248.79,250.655,246.09,247.26,243.9089,3057627
2023-10-24,247.78,248.035,244.595,244.95,241.6302,3044414
2023-10-25,244.55,247.51,244.26,245.16,241.8373,3427552
2023-10-26,242.69,244.95,240.79,243.06,239.7658,1890686
2023-10-27,245.23,248.27,237.76,238.79,235.5537,2318440
2023-10-30,238.76,240.81,237.7601,238.91,235.6721,2683819
2023-10-31,238.37,240.04,236.32,239.0,235.7608,2720747
2023-11-01,239.59,241.955,237.38,237.87,234.6461,3372557
2023-11-02,237.67,246.18,237.56,245.84,242.5081,3265581
2023-11-03,245.14,245.45,240.81,243.69,240.3873,2659541
2023-11-06,243.65,244.335,238.93,239.07,235.8299,1480838
2023-11-07,235.48,236.58,233.3478,234.97,231.7855,1915801
2023-11-08,233.7,236.695,231.66,231.69,228.5499,1754271
2023-11-09,233.69,234.7,231.67,231.85,228.7077,1845167
2023-11-10,234.23,235.33,231.7122,233.56,230.3946,2847168
2023-11-13,233.85,236.77,233.58,235.99,232.7916,1183499
2023-11-14,236.3,238.145,236.17,236.91,233.6992,1276248
2023-11-15,236.59,238.88,234.9,235.2,232.0123,1734088
2023-11-16,233.07,234.29,230.41,232.35,229.201,2364958
2023-11-17,234.1,239.1601,233.23,238.16,234.9322,1826242
2023-11-20,239.24,240.0,237.24,237.37,234.1529,1940965
2023-11-21,236.98,237.89,234.8,237.15,233.9359,2205016
2023-11-22,232.95,236.46,231.62,236.25,233.0481,1613654
2023-11-24,236.0,239.54,235.66,237.69,234.4686,689692
2023-11-27,236.93,237.17,234.45,236.4,233.1961,2391182
2023-11-28,237.7,238.5,236.06,236.11,232.91,2297436
2023-11-29,233.84,234.95,228.74,229.88,229.88,2481933
2023-11-30,231.98,234.9799,228.91,231.64,231.64,2124303
2023-12-01,231.0,234.95,230.39,232.15,232.15,1806426
2023-12-04,230.55,232.82,229.0201,230.35,230.35,2503678
2023-12-05,230.68,230.68,225.52,225.78,225.78,2456301
2023-12-06,224.36,226.5,221.23,222.07,222.07,3839115
