date,open,high,low,close,adjusted_close,volume
2023-01-03,52.86,53.59,50.36,51.5,50.5246,8487800
2023-01-04,50.46,52.03,50.19,51.7,50.7208,9069800
2023-01-05,51.66,53.21,51.66,52.67,51.6725,6622100
2023-01-06,53.45,54.7,53.3,54.5,53.4678,10171800
2023-01-09,55.28,56.28,55.1,55.64,54.5862,12104300
2023-01-10,55.6,56.17,54.95,55.96,54.9002,7080300
2023-01-11,55.95,56.75,55.73,56.32,55.2533,8856900
2023-01-12,56.23,58.61,56.18,58.0,56.9015,12857100
2023-01-13,57.99,58.52,57.33,58.28,57.1762,7345000
2023-01-17,58.15,58.93,57.96,58.46,57.3528,8467200
2023-01-18,58.94,59.45,57.03,57.13,56.048,11332700
2023-01-19,56.29,57.94,56.21,57.38,56.2933,15283700
2023-01-20,57.49,58.99,56.22,57.35,56.2638,19204800
2023-01-23,57.5,57.7,55.23,55.86,54.802,15090600
2023-01-24,54.07,56.44,54.07,55.47,54.4194,8784400
2023-01-25,55.15,56.5,54.27,56.25,55.1847,9053000
2023-01-26,56.62,57.55,55.3,57.47,56.3816,8581500
2023-01-27,57.32,58.1,56.6,56.97,55.891,7669500
2023-01-30,56.63,56.83,56.12,56.34,55.273,6181100
2023-01-31,56.28,57.44,55.98,56.98,55.9008,5951900
2023-02-01,56.91,57.44,55.0,55.7,54.6451,10454000
2023-02-02,55.26,55.26,51.97,52.29,51.2997,17007600
2023-02-03,52.82,54.67,52.55,52.64,51.643,10737000
2023-02-06,52.8,53.38,52.19,53.09,52.0845,6482100
2023-02-07,53.44,54.13,52.74,53.89,53.1195,9109700
2023-02-08,54.0,55.13,53.75,54.71,53.9278,7939900
2023-02-09,54.46,54.74,53.74,53.84,53.0702,7116500
2023-02-10,54.77,56.42,54.48,56.36,55.5542,9410700
2023-02-13,55.9,57.36,55.24,57.31,56.4906,8964200
2023-02-14,56.41,57.8,56.11,56.82,56.0076,7437300
2023-02-15,56.15,56.3,55.02,55.99,55.1895,7077200
2023-02-16,56.0,56.59,55.42,55.78,54.9825,5089700
2023-02-17,55.0,55.06,53.13,53.34,52.5774,9162900
2023-02-21,53.3,54.59,53.27,53.4,52.6365,7422100
2023-02-22,53.16,53.94,52.04,52.41,51.6607,9181100
2023-02-23,53.58,54.02,52.87,53.32,52.5576,6324500
2023-02-24,52.8,54.13,52.2,53.92,53.1491,8458700
2023-02-27,54.03,54.53,53.39,54.4,53.6222,6287000
2023-02-28,54.99,55.29,53.2,53.21,52.4492,10634200
2023-03-01,53.25,55.16,53.12,54.89,54.1052,7166500
2023-03-02,54.62,55.48,54.05,55.3,54.5093,5668300
2023-03-03,54.49,56.14,54.19,55.99,55.1895,6726500
2023-03-06,55.47,55.73,54.94,55.35,54.5586,6116600
2023-03-07,55.02,55.07,54.0,54.04,53.2674,6908500
2023-03-08,53.71,54.26,52.32,53.54,52.7745,7555000
2023-03-09,53.9,54.44,52.1,52.19,51.4438,8844300
2023-03-10,51.77,52.95,50.66,51.0,50.2708,8608400
2023-03-13,49.37,50.49,48.32,48.84,48.1417,10914700
2023-03-14,49.25,50.89,48.45,49.36,48.6543,10345900
2023-03-15,46.77,46.96,44.72,45.32,44.672,18103300
2023-03-16,44.34,46.53,44.08,46.18,45.5197,16769500
2023-03-17,45.95,46.0,44.37,44.68,44.0412,20723800
2023-03-20,44.89,46.55,44.7,46.22,45.5592,10496100
2023-03-21,47.99,48.66,47.52,48.28,47.5897,10486500
2023-03-22,48.55,48.91,47.29,47.4,46.7223,11557000
2023-03-23,47.44,47.84,45.04,45.48,44.8297,12213400
2023-03-24,44.21,45.0,43.82,44.57,43.9328,19753600
2023-03-27,45.62,46.93,45.21,46.77,46.1013,10579800
2023-03-28,46.77,47.87,46.51,47.64,46.9589,6816200
2023-03-29,48.25,48.8,48.03,48.7,48.0037,9569700
2023-03-30,49.39,49.53,48.49,48.74,48.0431,7353600
2023-03-31,48.85,49.48,48.62,49.1,48.398,8154000
2023-04-03,52.27,53.81,51.97,52.33,51.5818,20003400
2023-04-04,52.36,52.53,49.96,50.46,49.7385,9378100
2023-04-05,50.58,51.16,49.91,50.7,49.9751,9102100
2023-04-06,50.68,50.84,49.5,49.62,48.9105,6734100
2023-04-10,49.81,50.96,49.73,50.04,49.3245,5278400
2023-04-11,50.33,51.4,49.95,51.14,50.4088,8081100
2023-04-12,51.32,52.22,50.76,51.98,51.2368,8400500
2023-04-13,51.94,52.3,51.76,51.89,51.1481,6544300
2023-04-14,52.4,53.15,51.89,52.48,51.7297,8037000
2023-04-17,52.3,52.75,51.4,52.06,51.3157,7374800
2023-04-18,51.72,52.71,51.51,52.17,51.4241,5551200
2023-04-19,51.92,52.76,51.66,52.63,51.8775,7791400
2023-04-20,51.95,52.22,51.41,51.97,51.2269,8134100
2023-04-21,51.74,51.75,49.09,49.8,49.088,15776000
