date,open,high,low,close,adjusted_close,volume
2023-01-03,125.75,126.58,119.64,120.04,115.3229,3671585
2023-01-04,118.02,120.59,117.71,119.62,114.9194,3283770
2023-01-05,119.62,126.97,119.0,126.59,121.6155,4974643
2023-01-06,127.77,131.6,125.395,127.56,122.5474,4818820
2023-01-09,129.66,131.49,127.01,128.58,123.5273,4438557
2023-01-10,130.05,132.08,128.07,132.01,126.8225,3518096
2023-01-11,133.32,135.11,132.23,133.6,128.3501,4172549
2023-01-12,134.23,137.27,133.825,135.32,130.0025,3269557
2023-01-13,135.32,137.12,134.39,136.13,130.7806,2603965
2023-01-17,137.62,139.85,136.0495,137.61,132.2025,2781060
2023-01-18,139.0,140.6,134.5,135.52,130.1946,3564358
2023-01-19,134.68,138.87,133.95,138.47,133.0287,3224866
2023-01-20,139.09,142.865,137.76,142.73,137.1213,3709802
2023-01-23,143.57,146.91,142.91,143.08,137.4575,3908311
2023-01-24,146.56,146.56,141.85,145.03,139.3309,3142401
2023-01-25,144.02,144.93,142.0303,143.35,137.7169,2955948
2023-01-26,145.21,150.0,141.1,149.96,144.0672,4708086
2023-01-27,150.05,150.39,143.14,143.21,137.5824,3638503
2023-01-30,142.99,143.5,139.75,140.19,134.6811,2991348
2023-01-31,140.21,141.69,138.07,140.03,134.5274,5427278
2023-02-01,140.88,142.36,134.28,136.23,130.8767,4159196
2023-02-02,135.25,135.38,130.84,133.05,127.8217,4171067
2023-02-03,133.88,135.7794,131.5,131.73,126.5535,3027312
2023-02-06,131.7,132.77,126.06,128.09,123.0566,4401832
2023-02-07,129.0,135.3,128.74,134.52,129.2339,3591355
2023-02-08,134.64,137.335,132.59,134.12,128.8496,4991051
2023-02-09,132.76,134.25,131.88,132.62,127.4086,3822410
2023-02-10,135.42,141.27,135.42,140.73,135.1999,4815438
2023-02-13,138.84,140.0,137.08,139.8,135.287,3072456
2023-02-14,138.26,141.325,138.16,139.69,135.1805,3030268
2023-02-15,137.88,138.32,135.8939,136.37,131.9677,3978195
2023-02-16,135.79,136.79,133.8,133.97,129.6452,2589829
2023-02-17,131.72,131.9399,128.79,129.61,125.4259,3380213
2023-02-21,129.88,132.8699,129.72,132.2,127.9323,3343519
2023-02-22,132.64,132.9,129.44,130.69,126.4711,3245372
2023-02-23,132.6,133.25,130.13,132.43,128.1549,2620472
2023-02-24,130.28,132.895,127.86,132.75,128.4646,3012958
2023-02-27,133.1,135.42,132.53,135.05,130.6903,2901945
2023-02-28,136.83,137.2,131.585,131.73,127.4775,5428040
2023-03-01,132.5,139.765,131.6841,139.29,134.7934,5042214
2023-03-02,138.5,139.72,137.34,139.23,134.7354,3473421
2023-03-03,137.56,142.29,137.12,141.17,136.6128,3703897
2023-03-06,139.2,140.28,138.2862,139.69,135.1805,3413871
2023-03-07,139.03,140.0,135.91,136.96,132.5387,3577673
2023-03-08,136.46,138.01,130.13,132.77,128.4839,5029789
2023-03-09,134.0,138.7,132.13,132.28,128.0097,4913020
2023-03-10,132.78,136.56,131.69,132.16,127.8936,3856020
2023-03-13,128.4,130.37,125.02,128.11,123.9744,5199221
2023-03-14,129.15,134.71,129.06,131.62,127.371,4717274
2023-03-15,126.7,127.4789,122.77,124.33,120.3164,8770720
2023-03-16,122.25,127.78,120.85,127.17,123.0647,7040750
2023-03-17,127.0,128.0,124.59,126.37,122.2905,13800930
2023-03-20,127.13,130.1,127.02,128.91,124.7485,5343766
2023-03-21,131.84,133.14,130.11,132.19,127.9226,6393185
2023-03-22,132.16,135.7,131.135,131.77,127.5162,3909974
2023-03-23,132.05,134.85,128.835,130.38,126.1711,3793722
2023-03-24,127.95,130.45,125.7576,129.26,125.0872,4362297
2023-03-27,131.29,133.1,127.47,131.88,127.6227,4003945
2023-03-28,131.6,137.05,131.39,136.02,131.629,4099683
2023-03-29,136.96,138.0,134.77,136.95,132.529,4453867
2023-03-30,138.05,138.22,135.48,137.02,132.5967,3254678
2023-03-31,136.67,139.83,135.1,139.6,135.0934,3330602
2023-04-03,141.92,142.26,136.55,138.53,134.058,6276124
2023-04-04,136.55,136.8,126.77,127.43,123.3163,8945015
2023-04-05,127.61,135.72,127.16,135.09,130.729,8034228
2023-04-06,135.51,135.95,131.92,132.59,128.3097,3170466
2023-04-10,133.01,136.0699,132.96,135.1,130.7387,2369600
2023-04-11,136.54,138.0918,135.32,136.71,132.2967,2476263
2023-04-12,136.62,137.245,133.38,133.72,129.4033,2968706
2023-04-13,132.49,133.8505,130.45,133.13,128.8323,3223081
2023-04-14,133.87,134.3035,130.96,131.86,127.6033,2463365
2023-04-17,130.58,130.77,127.59,128.3,124.1582,3525909
2023-04-18,126.01,127.76,125.04,127.11,123.0066,3827964
2023-04-19,125.96,126.0,122.2,124.4,120.3841,4409216
2023-04-20,122.71,123.3,120.845,122.95,118.9809,3966550
2023-04-21,122.44,122.49,118.68,119.63,115.7681,6644645
2023-04-24,118.57,121.39,118.31,120.0,116.1262,5268600
2023-04-25,119.5,119.7,117.315,117.85,114.0456,4058270
2023-04-26,117.74,118.54,115.81,116.64,112.8746,5711833
2023-04-27,114.91,117.24,112.15,114.64,110.9392,7742723
2023-04-28,114.5,115.59,112.595,114.67,110.9682,4042843
2023-05-01,114.44,115.99,113.435,115.41,111.6843,3054252
2023-05-02,114.18,114.475,108.47,110.78,107.2038,4598310
2023-05-03,109.74,111.21,106.87,107.06,103.6039,4871926
2023-05-04,106.99,108.3564,104.18,104.31,100.9427,5083917
2023-05-05,107.49,108.37,106.5,107.04,103.5845,3872185
2023-05-08,109.28,110.4799,107.28,107.38,103.9136,3179997
2023-05-09,106.22,109.6,105.49,108.4,104.9006,4146013
2023-05-10,108.76,112.56,107.36,111.01,107.4264,6454130
2023-05-11,109.55,112.68,109.04,110.66,107.0877,4411430
2023-05-12,111.51,112.49,110.04,110.52,106.9522,3526776
2023-05-15,111.08,113.06,109.89,112.91,109.265,4611965
2023-05-16,112.87,113.11,108.83,109.64,106.1006,4956126
2023-05-17,112.37,112.5,109.86,112.1,108.4812,4231438
