date,open,high,low,close,adjusted_close,volume
2023-01-03,32.71,32.72,31.71,32.15,30.4282,5544600
2023-01-04,31.84,32.53,31.72,32.35,30.6175,5761600
2023-01-05,32.2,32.3,31.94,32.02,30.3052,6009300
2023-01-06,32.38,32.92,32.26,32.56,30.8163,6347300
2023-01-09,32.93,33.07,32.55,32.63,30.8825,6715100
2023-01-10,32.82,32.95,31.94,32.14,30.4188,6282200
2023-01-11,32.47,32.57,32.22,32.43,30.6932,6675100
2023-01-12,32.67,33.06,32.5,32.96,31.1948,6560800
2023-01-13,32.88,32.97,32.39,32.81,31.0529,4659700
2023-01-17,32.96,33.08,32.66,32.78,31.0245,5565800
2023-01-18,32.8,32.91,31.59,31.68,29.9834,7924100
2023-01-19,31.55,32.25,31.5,31.93,30.22,7480800
2023-01-20,31.95,32.06,31.37,31.46,29.7752,7368500
2023-01-23,31.66,31.94,31.51,31.68,29.9834,8740400
2023-01-24,31.53,32.55,31.0,31.44,29.7563,6451300
2023-01-25,31.22,31.41,30.51,31.4,29.7184,7189500
2023-01-26,31.64,31.68,31.1,31.43,29.7468,7382800
2023-01-27,31.36,31.7,31.31,31.51,29.8225,6375900
2023-01-30,31.3,31.72,31.01,31.03,29.3682,6201800
2023-01-31,31.22,32.24,31.07,32.24,30.5134,11984600
2023-02-01,31.89,32.17,31.5,31.86,30.1538,10077300
2023-02-02,31.91,32.26,31.48,32.21,30.485,8034400
2023-02-03,32.26,32.44,32.0,32.08,30.362,7436800
2023-02-06,32.02,32.14,31.43,31.7,30.0023,5668800
2023-02-07,31.74,32.23,31.43,32.11,30.3904,8534500
2023-02-08,32.0,32.15,31.7,31.81,30.1064,5770800
2023-02-09,31.88,31.94,31.22,31.32,29.6427,6871300
2023-02-10,31.63,31.88,31.42,31.82,30.1159,6550900
2023-02-13,31.68,31.95,31.63,31.81,30.1064,4800300
2023-02-14,31.68,32.09,31.54,31.92,30.2105,5128900
2023-02-15,31.72,32.12,31.57,32.1,30.3809,6898000
2023-02-16,31.97,32.41,31.93,32.09,30.3714,6285700
2023-02-17,31.73,31.85,31.18,31.26,29.5859,11956500
2023-02-21,31.13,31.26,30.47,30.79,29.1411,9590900
2023-02-22,30.88,31.26,30.52,30.91,29.2546,8341900
2023-02-23,31.18,31.31,30.81,31.05,29.3871,5820300
2023-02-24,30.76,31.2,30.66,31.18,29.5102,5462000
2023-02-27,31.05,31.23,30.63,30.7,29.0559,7790500
2023-02-28,30.78,30.8,30.09,30.1,28.488,8399900
2023-03-01,30.06,30.19,29.78,29.94,28.3366,7374800
2023-03-02,29.9,30.5,29.82,30.42,28.7909,5558500
2023-03-03,30.28,31.07,30.22,30.97,29.3114,5713900
2023-03-06,30.81,31.02,30.63,30.7,29.0559,5722000
2023-03-07,30.62,30.68,30.22,30.37,28.7436,5586400
2023-03-08,30.37,30.59,30.11,30.37,28.7436,6794400
2023-03-09,30.6,30.76,29.86,29.89,28.2893,8255800
2023-03-10,29.46,29.57,28.7,28.9,27.768,9144700
2023-03-13,28.51,29.36,28.17,29.01,27.8737,11855300
2023-03-14,29.18,29.68,28.78,29.25,28.1043,9676000
2023-03-15,28.44,29.15,28.27,28.78,27.6527,11603600
2023-03-16,28.35,28.9,28.06,28.82,27.6911,10961900
2023-03-17,28.71,28.75,28.15,28.3,27.1915,13152100
2023-03-20,28.43,29.16,28.36,28.89,27.7584,6859400
2023-03-21,29.22,29.3,28.82,29.18,28.037,7843400
2023-03-22,29.2,29.35,28.62,28.64,27.5182,6225800
2023-03-23,28.64,28.96,28.09,28.3,27.1915,5478400
2023-03-24,27.91,28.79,27.8,28.74,27.6143,7071200
2023-03-27,29.08,29.21,28.83,28.93,27.7968,6324100
2023-03-28,28.44,29.04,28.26,28.87,27.7392,6613500
2023-03-29,29.2,29.27,29.0,29.27,28.1235,7478800
2023-03-30,29.6,29.6,29.29,29.41,28.258,4213500
2023-03-31,29.42,29.88,29.42,29.86,28.6904,5821900
2023-04-03,30.31,30.41,29.63,29.85,28.6808,9085100
2023-04-04,29.85,29.93,29.29,29.67,28.5078,6509000
2023-04-05,29.82,29.97,29.52,29.94,28.7673,5629200
2023-04-06,30.07,30.09,29.47,29.65,28.4886,6628800
2023-04-10,29.68,29.95,29.51,29.84,28.6712,5824900
2023-04-11,30.05,30.33,29.87,30.17,28.9883,5019000
2023-04-12,30.38,30.65,30.28,30.33,29.142,7357200
2023-04-13,30.32,30.52,30.22,30.5,29.3053,6207400
2023-04-14,30.59,30.78,30.2,30.39,29.1996,6877800
2023-04-17,30.5,30.57,30.25,30.32,29.1324,4779000
2023-04-18,30.2,30.39,30.05,30.16,28.9787,4022400
2023-04-19,29.93,30.09,29.87,30.08,28.9018,3800400
2023-04-20,29.82,29.83,29.53,29.83,28.6616,5165300
2023-04-21,29.85,29.98,29.59,29.93,28.7577,3903300
2023-04-24,29.93,30.43,29.76,30.33,29.142,4571300
2023-04-25,30.19,30.22,29.87,29.93,28.7577,4029300
2023-04-26,29.73,29.96,29.23,29.44,28.2869,5513600
2023-04-27,29.41,29.88,29.32,29.81,28.6424,6626300
2023-04-28,29.76,30.44,29.71,30.26,29.0747,5428300
2023-05-01,30.0,30.51,30.0,30.36,29.1708,4671800
2023-05-02,30.1,30.13,28.92,29.3,28.1523,7298500
2023-05-03,29.03,29.5,28.95,28.96,27.8257,6094000
2023-05-04,29.26,29.74,28.83,29.1,27.9602,10485800
2023-05-05,29.62,30.4,29.43,30.18,28.9979,9884100
2023-05-08,30.44,30.48,29.45,29.56,28.4022,5642200
2023-05-09,29.3,29.67,29.22,29.45,28.2965,5122700
2023-05-10,29.76,29.76,28.87,29.16,28.0178,6260900
2023-05-11,28.89,29.16,28.76,29.0,27.8641,4746300
2023-05-12,29.24,29.39,29.06,29.28,28.1331,4245000
2023-05-15,29.37,29.38,28.68,29.1,27.9602,9341000
2023-05-16,29.1,29.27,28.53,28.65,27.5278,9360000
2023-05-17,28.97,29.1,28.69,28.95,27.8161,6372800
2023-05-18,28.75,29.25,28.67,29.21,28.0659,6379400
2023-05-19,29.34,29.49,29.1,29.24,28.0947,5157200
2023-05-22,29.19,29.46,28.97,29.23,28.0851,5575800
2023-05-23,29.21,29.6,29.16,29.38,28.2292,5559400
2023-05-24,29.43,29.45,28.99,29.27,28.1235,5658900
2023-05-25,28.98,29.13,28.63,29.08,27.941,8775600
2023-05-26,29.15,29.23,28.63,28.75,27.6239,5960200
2023-05-30,28.5,28.71,28.38,28.56,27.4413,6014800
2023-05-31,28.28,28.73,28.27,28.66,27.5374,12283000
2023-06-01,28.71,29.25,28.57,29.11,27.9698,8113900
2023-06-02,29.5,30.53,29.37,30.23,29.0459,11368900
2023-06-05,30.6,30.6,30.13,30.14,28.9594,5154200
2023-06-06,29.88,30.4,29.86,30.35,29.1612,5664000
2023-06-07,30.58,31.41,30.52,31.4,30.1701,11279200
2023-06-08,31.4,31.72,31.03,31.7,30.4583,9968000
2023-06-09,31.17,31.2,30.38,30.39,29.6178,8944100
2023-06-12,30.15,30.66,30.1,30.56,29.7834,8073700
2023-06-13,30.6,30.99,30.44,30.48,29.7055,9090100
2023-06-14,30.64,30.74,30.19,30.2,29.4326,6328300
2023-06-15,30.28,30.85,30.22,30.57,29.7932,7153200
2023-06-16,30.69,30.78,30.51,30.53,29.7542,14134900
2023-06-20,30.47,30.67,30.24,30.64,29.8614,7009800
2023-06-21,30.54,31.04,30.43,30.82,30.0368,5718500
2023-06-22,30.87,30.91,30.45,30.57,29.7932,6707300
2023-06-23,30.36,30.64,30.26,30.59,29.8127,11263800
2023-06-26,30.62,31.24,30.59,31.07,30.2805,7466900
2023-06-27,31.01,31.57,30.9,31.37,30.5728,8499700
2023-06-28,31.54,32.21,31.45,32.02,31.2063,15800700
2023-06-29,32.02,32.55,31.98,32.53,31.7034,8950000
2023-06-30,32.73,32.76,32.42,32.63,31.8008,7552600
2023-07-03,32.65,32.92,32.57,32.72,31.8885,2930300
2023-07-05,32.74,32.74,32.33,32.46,31.6352,10043600
2023-07-06,32.32,32.47,32.2,32.37,31.5474,6686100
2023-07-07,32.32,33.05,32.28,32.73,31.8983,6676000
2023-07-10,32.65,33.04,32.54,32.91,32.0737,7988700
2023-07-11,32.98,33.59,32.83,33.55,32.6975,10206000
2023-07-12,33.81,34.2,33.64,34.11,33.2432,13714600
2023-07-13,34.1,34.29,34.05,34.26,33.3894,11050600
2023-07-14,34.05,34.05,33.14,33.38,32.5318,6643400
2023-07-17,33.18,33.4,33.0,33.01,32.1712,5001200
2023-07-18,33.05,33.6,32.97,33.34,32.4928,5126500
2023-07-19,33.35,33.58,33.19,33.32,32.4733,5400500
2023-07-20,33.65,33.66,33.27,33.6,32.7462,4864300
2023-07-21,33.75,33.97,33.53,33.85,32.9898,4344700
2023-07-24,33.99,34.27,33.95,33.96,33.097,5640600
2023-07-25,33.94,34.11,33.73,33.98,33.1165,4576000
2023-07-26,33.8,34.34,33.69,34.07,33.2042,4586900
2023-07-27,34.05,34.41,33.91,34.05,33.1847,7467900
2023-07-28,34.22,34.22,33.77,34.06,33.1945,5400300
2023-07-31,34.25,34.64,34.13,34.45,33.5746,6831200
2023-08-01,34.49,34.49,33.8,34.1,33.2335,5521100
2023-08-02,33.91,33.93,33.27,33.68,32.8241,6000500
2023-08-03,34.03,34.84,33.97,34.44,33.5648,8534700
2023-08-04,34.53,35.07,34.35,34.36,33.4869,7617900
2023-08-07,34.54,34.8,34.32,34.47,33.5941,4119700
2023-08-08,34.11,34.84,34.0,34.83,33.9449,5682200
2023-08-09,34.97,35.46,34.97,35.26,34.364,8472600
2023-08-10,35.3,35.45,34.87,35.06,34.1691,5949600
2023-08-11,35.09,35.41,35.05,35.38,34.481,4572100
2023-08-14,35.39,35.42,34.98,35.03,34.1398,5002300
2023-08-15,34.85,34.92,34.62,34.76,33.8767,4711800
2023-08-16,34.65,34.76,34.45,34.47,33.5941,6196900
2023-08-17,34.7,35.05,34.61,34.61,33.7305,4924500
2023-08-18,34.32,34.9,34.27,34.77,33.8865,4328000
2023-08-21,34.82,34.98,34.49,34.83,33.9449,5960600
2023-08-22,34.97,35.14,34.62,34.63,33.75,5780800
2023-08-23,34.48,34.76,34.16,34.7,33.8182,6137000
2023-08-24,34.55,34.99,34.51,34.52,33.6428,4446700
2023-08-25,34.73,34.96,34.55,34.67,33.789,4247500
2023-08-28,34.8,35.11,34.64,34.87,33.9839,4003800
2023-08-29,34.89,34.95,34.64,34.88,33.9937,3932000
2023-08-30,34.95,35.01,34.8,35.0,34.1106,4164200
2023-08-31,35.03,35.07,34.53,34.53,33.6525,10242300
2023-09-01,34.88,35.07,34.56,34.69,33.8085,5250200
