date,open,high,low,close,adjusted_close,volume
2023-01-03,109.78,110.02,105.49,106.51,102.9936,15146170
2023-01-04,104.8,107.155,104.76,106.82,103.2933,18058400
2023-01-05,106.34,109.95,106.31,109.21,105.6044,15946560
2023-01-06,110.08,111.99,109.67,110.53,106.8809,16348130
2023-01-09,111.64,111.64,107.81,108.47,104.8889,17964590
2023-01-10,109.79,110.33,108.005,110.09,106.4554,15104600
2023-01-11,110.99,111.45,109.085,111.37,107.6931,16710369
2023-01-12,111.82,113.74,111.74,113.22,109.4821,15357320
2023-01-13,113.11,113.49,112.16,113.15,109.4144,12011360
2023-01-17,113.41,114.08,112.67,112.93,109.2016,16542199
2023-01-18,113.26,114.12,110.3987,110.61,106.9582,16399689
2023-01-19,110.07,112.13,109.58,111.32,107.6448,12928020
2023-01-20,111.36,113.44,110.61,113.35,109.6078,16515609
2023-01-23,113.64,114.59,112.64,112.76,109.0372,16584420
2023-01-24,109.16,114.02,104.87,113.81,110.0526,13583030
2023-01-25,113.23,113.65,111.39,113.21,109.4724,11914730
2023-01-26,114.72,117.78,114.335,117.76,113.8722,21019680
2023-01-27,116.95,117.67,115.39,115.61,111.7931,15179210
2023-01-30,115.09,115.49,113.1519,113.56,109.8108,18672051
2023-01-31,112.1,116.4,110.43,116.01,112.1799,27861850
2023-02-01,115.83,117.38,113.34,114.74,110.9519,19464869
2023-02-02,114.85,115.07,109.83,111.15,107.4804,24562119
2023-02-03,111.9,114.11,111.56,111.92,108.225,20226609
2023-02-06,112.36,113.09,110.32,111.73,108.0412,13855210
2023-02-07,112.39,115.31,112.021,114.92,111.1259,16013310
2023-02-08,115.05,115.83,113.85,113.92,110.1589,18459680
2023-02-09,114.62,116.24,114.18,114.35,110.5747,17439311
2023-02-10,116.51,119.63,116.16,119.17,115.2356,24918619
2023-02-13,117.72,118.18,115.9,117.8,114.7874,14536240
2023-02-14,117.01,117.81,116.0169,116.42,113.4427,12078990
2023-02-15,115.72,116.09,114.14,116.07,113.1016,13673360
2023-02-16,115.31,116.78,114.8,115.73,112.7703,11360600
2023-02-17,114.19,114.19,110.9799,111.28,108.4341,20758330
2023-02-21,110.81,112.38,110.81,111.17,108.3269,14469430
2023-02-22,110.48,110.97,108.64,109.73,106.9238,13973840
2023-02-23,110.73,111.83,109.9,110.74,107.9079,11289400
2023-02-24,109.33,110.96,109.02,110.75,107.9177,14351040
2023-02-27,110.8,111.26,109.9601,110.55,107.7228,11710450
2023-02-28,111.24,111.36,109.22,109.91,107.0992,18107029
2023-03-01,109.31,111.86,109.24,110.89,108.0541,13199960
2023-03-02,110.615,111.695,110.17,111.4,108.5511,10343080
2023-03-03,110.05,113.37,109.95,112.81,109.925,13006710
2023-03-06,111.99,113.84,111.87,113.81,110.8994,14347410
2023-03-07,112.81,113.17,111.17,111.61,108.7557,11525290
2023-03-08,111.23,112.42,109.065,109.98,107.1674,13509820
2023-03-09,110.87,112.23,109.03,109.13,106.3391,12961240
2023-03-10,109.56,111.035,107.15,107.78,105.0236,15795670
2023-03-13,105.34,107.86,103.72,106.54,103.8153,20745631
2023-03-14,106.35,109.01,104.96,106.94,104.2051,18263510
2023-03-15,102.82,104.2,100.2203,101.62,99.0212,25733779
2023-03-16,99.11,101.68,98.02,101.03,98.4463,27476131
2023-03-17,100.6,101.6149,99.14,99.84,97.2867,43199473
2023-03-20,99.63,102.48,99.5,102.45,99.8299,32042109
2023-03-21,104.17,107.28,104.13,107.04,104.3026,31592311
2023-03-22,106.8,107.175,104.56,104.59,101.9152,14952670
2023-03-23,105.36,106.34,102.44,103.41,100.7654,14385870
2023-03-24,101.47,103.85,100.9132,103.53,100.8823,13405810
2023-03-27,104.74,106.48,103.91,105.8,103.0943,14805910
2023-03-28,105.44,107.65,105.19,107.12,104.3805,11047590
2023-03-29,108.06,109.16,107.49,108.96,106.1735,14219120
2023-03-30,109.55,109.57,108.52,109.49,106.6899,11578170
2023-03-31,109.68,110.17,109.0499,109.66,106.8555,14417960
2023-04-03,113.39,116.85,113.12,116.13,113.1601,28087680
2023-04-04,116.26,116.7,114.17,115.02,112.0785,16365490
2023-04-05,115.35,117.0,114.31,116.99,113.9981,16479471
2023-04-06,116.86,117.18,114.77,115.05,112.1077,15777960
2023-04-10,114.78,116.18,114.17,114.54,111.6107,13006550
2023-04-11,114.96,116.1999,114.38,115.35,112.4,11758460
2023-04-12,116.16,116.59,114.93,115.23,112.2831,10919020
2023-04-13,114.6,115.89,114.13,115.77,112.8093,12399650
